name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12886.4,0.290943,11.7336,-12906.2,-12886,-12867.4,1626.47,0.0164966,1.00037
"accept_stat__",0.820472,0.00598969,0.216276,0.301566,0.895603,0.994005,1303.79,0.0132238,1.00569
"stepsize__",0.183494,0.00473877,0.00580815,0.177939,0.181033,0.191511,1.50225,1.52367e-05,5.85209e+12
"treedepth__",4.306,0.031149,1.11336,2,5,5,1277.56,0.0129578,1.00427
"n_leapfrog__",25.2302,0.266894,9.30666,4,31,31,1215.93,0.0123327,1.00412
"divergent__",0.336167,0.00989721,0.472436,0,0,1,2278.56,0.0231105,1.00092
"energy__",13015.5,0.394788,16.4382,12988.6,13015.2,13043,1733.72,0.0175844,1.00031
"r[1]",0.51,0.0037,0.25,0.17,0.47,0.99,4704,0.048,1.00
"r[2]",0.73,0.0046,0.30,0.31,0.70,1.3,4287,0.043,1.00
"r[3]",0.75,0.0065,0.42,0.20,0.68,1.5,4276,0.043,1.0
"r[4]",6.7,0.019,1.3,4.8,6.6,9.1,4803,0.049,1.0
"r[5]",1.1,0.0080,0.55,0.35,1.1,2.1,4691,0.048,1.00
"r[6]",2.4,0.0093,0.64,1.4,2.3,3.5,4798,0.049,1.0
"r[7]",1.3,0.010,0.63,0.45,1.3,2.5,3840,0.039,1.0
"r[8]",5.9,0.020,1.2,4.2,5.8,8.0,3597,0.036,1.00
"r[9]",1.9,0.0091,0.60,1.0,1.9,3.0,4251,0.043,1.0
"r[10]",2.3,0.010,0.65,1.4,2.3,3.5,3936,0.040,1.00
"r[11]",1.9,0.012,0.79,0.73,1.8,3.3,4636,0.047,1.0
"r[12]",0.98,0.0100,0.64,0.21,0.84,2.2,4150,0.042,1.0
"r[13]",6.0,0.020,1.4,3.9,5.8,8.4,5032,0.051,1.0
"r[14]",0.84,0.0085,0.53,0.19,0.74,1.9,3834,0.039,1.0
"r[15]",0.75,0.0042,0.29,0.34,0.72,1.3,4740,0.048,1.00
"r[16]",0.91,0.0047,0.32,0.45,0.87,1.5,4649,0.047,1.00
"r[17]",5.0,0.013,0.89,3.7,4.9,6.5,4738,0.048,1.0
"r[18]",0.37,0.0034,0.24,0.097,0.32,0.84,4731,0.048,1.0
