name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13222.9,0.258927,11.8787,-13242.7,-13222.7,-13204.2,2104.65,0.00666834,1.00108
"accept_stat__",0.912584,0.0403697,0.144831,0.642515,0.965841,0.998963,12.871,4.07801e-05,1.06365
"stepsize__",0.0486855,0.00876829,0.010747,0.0379567,0.0447285,0.0633712,1.50225,4.75971e-06,3.21888e+13
"treedepth__",5.86767,0.282412,1.23413,3,6,7,19.0966,6.05054e-05,1.05326
"n_leapfrog__",82.659,19.1496,39.7725,14,66,127,4.31364,1.36673e-05,1.21922
"divergent__",0.416,0.0114305,0.492935,0,0,1,1859.71,0.00589229,1.00822
"energy__",13351.7,0.358641,16.416,13325.5,13351.5,13379.3,2095.16,0.00663825,1.00088
"r[1]",0.58,0.0038,0.24,0.24,0.54,1.0,4067,0.013,1.0
"r[2]",1.4,0.0055,0.39,0.88,1.4,2.1,4964,0.016,1.00
"r[3]",3.9,0.011,0.76,2.8,3.9,5.3,4524,0.014,1.00
"r[4]",0.96,0.0049,0.35,0.46,0.92,1.6,4993,0.016,1.0
"r[5]",0.57,0.0040,0.26,0.22,0.53,1.1,4300,0.014,1.0
"r[6]",0.39,0.0031,0.22,0.11,0.34,0.80,4867,0.015,1.00
"r[7]",0.46,0.0045,0.28,0.11,0.41,1.0,4025,0.013,1.0
"r[8]",0.76,0.0051,0.33,0.27,0.72,1.4,4329,0.014,1.0
"r[9]",0.92,0.0069,0.43,0.31,0.87,1.7,3927,0.012,1.0
"r[10]",2.2,0.0090,0.59,1.3,2.1,3.2,4220,0.013,1.0
"r[11]",2.4,0.025,1.4,0.42,2.3,4.9,3103,0.0098,1.0
"r[12]",15,0.070,4.0,10,14,22,3249,0.010,1.0
"r[13]",2.4,0.026,1.4,0.45,2.3,4.9,2854,0.0090,1.0
"r[14]",1.3,0.0064,0.44,0.61,1.2,2.1,4723,0.015,1.00
"r[15]",1.1,0.0048,0.33,0.59,1.0,1.7,4827,0.015,1.0
"r[16]",2.5,0.0088,0.56,1.7,2.5,3.5,4058,0.013,1.00
"r[17]",0.73,0.0041,0.28,0.34,0.69,1.2,4577,0.015,1.0
"r[18]",1.7,0.0066,0.43,1.0,1.6,2.4,4249,0.013,1.00
"r[19]",0.80,0.0045,0.31,0.38,0.76,1.4,4715,0.015,1.0
"r[20]",0.51,0.0038,0.26,0.18,0.46,0.99,4718,0.015,1.00
"r[21]",1.6,0.0062,0.42,0.96,1.6,2.3,4503,0.014,1.00
"r[22]",0.46,0.0033,0.24,0.16,0.42,0.91,5097,0.016,1.00
"r[23]",1.8,0.0076,0.52,1.0,1.7,2.7,4661,0.015,1.0
"r[24]",2.5,0.0088,0.59,1.6,2.4,3.5,4466,0.014,1.00
"r[25]",1.0,0.0059,0.41,0.46,0.99,1.8,4915,0.016,1.0
"r[26]",0.58,0.0044,0.32,0.16,0.53,1.2,5063,0.016,1.00
"r[27]",3.1,0.011,0.69,2.0,3.0,4.3,4230,0.013,1.0
"r[28]",0.30,0.0023,0.17,0.090,0.26,0.62,5202,0.016,1.00
"r[29]",0.43,0.0032,0.23,0.13,0.38,0.89,5180,0.016,1.0
"r[30]",0.39,0.0034,0.23,0.11,0.35,0.85,4824,0.015,1.0
"r[31]",0.64,0.0035,0.25,0.29,0.62,1.1,4892,0.016,1.0
"r[32]",0.39,0.0025,0.18,0.14,0.35,0.74,5340,0.017,1.0
"r[33]",0.83,0.0042,0.29,0.40,0.80,1.4,4981,0.016,1.0
"r[34]",0.75,0.0042,0.28,0.35,0.71,1.3,4601,0.015,1.00
"r[35]",1.2,0.0066,0.43,0.56,1.1,2.0,4370,0.014,1.0
"r[36]",1.6,0.0067,0.48,0.87,1.5,2.4,5039,0.016,1.0
"r[37]",3.9,0.013,0.88,2.6,3.9,5.5,4460,0.014,1.0
"r[38]",3.0,0.013,0.82,1.8,2.9,4.5,4166,0.013,1.00
"r[39]",1.5,0.0099,0.62,0.61,1.5,2.6,3877,0.012,1.0
"r[40]",3.9,0.013,0.86,2.6,3.8,5.4,4185,0.013,1.00
"r[41]",2.4,0.013,0.84,1.1,2.3,3.9,4070,0.013,1.0
"r[42]",1.3,0.012,0.69,0.36,1.2,2.6,3543,0.011,1.0
"r[43]",1.6,0.0097,0.64,0.64,1.5,2.7,4247,0.013,1.0
"r[44]",0.50,0.0044,0.31,0.13,0.43,1.1,4962,0.016,1.00
"r[45]",1.5,0.016,0.88,0.33,1.4,3.2,3100,0.0098,1.0
"r[46]",11,0.033,2.1,7.7,10,15,4127,0.013,1.0
"r[47]",0.97,0.0099,0.62,0.21,0.85,2.2,3943,0.012,1.00
"r[48]",5.4,0.018,1.2,3.7,5.4,7.5,4203,0.013,1.0
"r[49]",5.8,0.020,1.4,3.8,5.7,8.2,4668,0.015,1.00
"r[50]",1.8,0.017,0.94,0.43,1.7,3.5,2939,0.0093,1.0
"r[51]",1.5,0.0080,0.50,0.74,1.4,2.3,3836,0.012,1.0
"r[52]",3.4,0.012,0.75,2.3,3.3,4.7,4170,0.013,1.00
"r[53]",1.1,0.0058,0.39,0.49,1.0,1.7,4510,0.014,1.0
"r[54]",1.3,0.0062,0.42,0.65,1.2,2.0,4526,0.014,1.00
"r[55]",1.4,0.0070,0.49,0.65,1.3,2.2,5000,0.016,1.0
"r[56]",1.0,0.0074,0.48,0.32,0.94,1.9,4242,0.013,1.0
"r[57]",0.80,0.0075,0.50,0.19,0.70,1.8,4473,0.014,1.00
"r[58]",0.83,0.0079,0.53,0.19,0.72,1.9,4573,0.014,1.0
"r[59]",6.6,0.023,1.5,4.4,6.5,9.4,4421,0.014,1.00
"r[60]",2.5,0.015,0.91,1.1,2.4,4.1,3841,0.012,1.0
"r[61]",1.3,0.011,0.70,0.32,1.2,2.6,3923,0.012,1.0
"r[62]",1.4,0.0068,0.48,0.74,1.4,2.3,4991,0.016,1.0
"r[63]",2.6,0.0089,0.56,1.8,2.6,3.6,4006,0.013,1.0
"r[64]",1.2,0.0054,0.37,0.63,1.1,1.8,4687,0.015,1.0
"r[65]",0.24,0.0017,0.13,0.070,0.21,0.49,5955,0.019,1.00
"r[66]",2.1,0.0067,0.47,1.4,2.0,2.9,4888,0.015,1.0
"r[67]",0.79,0.0046,0.31,0.35,0.76,1.3,4425,0.014,1.00
"r[68]",0.57,0.0044,0.29,0.19,0.52,1.1,4490,0.014,1.0
"r[69]",1.1,0.0061,0.39,0.58,1.1,1.8,4182,0.013,1.00
"r[70]",0.78,0.0051,0.33,0.31,0.74,1.4,4290,0.014,1.00
"r[71]",0.99,0.0052,0.37,0.46,0.94,1.6,4945,0.016,1.00
"r[72]",1.4,0.0061,0.43,0.80,1.4,2.2,5049,0.016,1.0
"r[73]",1.4,0.013,0.74,0.39,1.3,2.8,3366,0.011,1.0
"r[74]",2.6,0.015,0.85,1.3,2.5,4.1,3289,0.010,1.0
"r[75]",5.7,0.021,1.2,3.9,5.6,7.9,3537,0.011,1.0
"r[76]",0.51,0.0045,0.30,0.13,0.46,1.1,4681,0.015,1.00
"r[77]",6.6,0.020,1.3,4.7,6.5,9.0,4418,0.014,1.00
"r[78]",1.1,0.0094,0.61,0.25,0.97,2.2,4144,0.013,1.00
"r[79]",0.97,0.0049,0.32,0.51,0.93,1.5,4296,0.014,1.00
"r[80]",0.37,0.0028,0.19,0.12,0.33,0.74,4846,0.015,1.0
"r[81]",1.3,0.0073,0.51,0.56,1.2,2.2,4961,0.016,1.00
"r[82]",4.2,0.017,1.1,2.6,4.1,6.1,3697,0.012,1.00
"r[83]",0.22,0.0018,0.12,0.066,0.20,0.45,4627,0.015,1.00
"r[84]",0.24,0.0020,0.13,0.078,0.21,0.48,4394,0.014,1.0
"r[85]",3.2,0.0094,0.65,2.3,3.2,4.4,4858,0.015,1.0
"r[86]",1.5,0.0067,0.44,0.83,1.5,2.3,4308,0.014,1.00
"r[87]",0.59,0.0044,0.29,0.20,0.55,1.1,4418,0.014,1.0
"r[88]",0.38,0.0029,0.21,0.12,0.34,0.78,5185,0.016,1.0
"r[89]",1.9,0.0084,0.58,1.0,1.8,2.9,4796,0.015,1.00
"r[90]",0.61,0.0056,0.38,0.15,0.53,1.3,4684,0.015,1.00
"r[91]",3.4,0.013,0.80,2.2,3.3,4.8,3789,0.012,1.0
"r[92]",0.62,0.0052,0.35,0.17,0.56,1.3,4377,0.014,1.0
"r[93]",1.5,0.0066,0.43,0.91,1.5,2.3,4268,0.014,1.0
"r[94]",2.5,0.0086,0.56,1.7,2.5,3.5,4293,0.014,1.0
"r[95]",0.41,0.0031,0.20,0.15,0.38,0.80,4337,0.014,1.00
