name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13001.2,0.270293,11.8029,-13021.3,-13000.7,-12982.6,1906.8,0.010317,1.00026
"accept_stat__",0.882268,0.010725,0.169282,0.529947,0.943103,0.997268,249.132,0.00134796,1.01801
"stepsize__",0.0776132,0.00630127,0.00772325,0.0685546,0.0768592,0.0874259,1.50225,8.12815e-06,1.63005e+13
"treedepth__",5.10467,0.0459133,1.28348,2,6,6,781.45,0.00422814,1.00482
"n_leapfrog__",48.6798,0.660137,19.8233,7,63,63,901.746,0.00487902,1.00534
"divergent__",0.463333,0.0127114,0.498695,0,0,1,1539.16,0.00832786,1.00391
"energy__",13130.3,0.362307,16.2415,13104.1,13130.1,13157.5,2009.56,0.010873,1.00037
"r[1]",2.3,0.0095,0.51,1.5,2.2,3.2,2869,0.016,1.0
"r[2]",0.56,0.0038,0.24,0.23,0.53,1.00,3913,0.021,1.0
"r[3]",0.41,0.0038,0.22,0.13,0.37,0.84,3511,0.019,1.0
"r[4]",3.1,0.011,0.64,2.1,3.1,4.2,3285,0.018,1.00
"r[5]",1.7,0.0074,0.46,0.97,1.6,2.5,3834,0.021,1.00
"r[6]",0.36,0.0034,0.20,0.11,0.32,0.74,3587,0.019,1.00
"r[7]",1.5,0.0074,0.43,0.85,1.4,2.3,3418,0.018,1.0
"r[8]",1.4,0.0069,0.43,0.76,1.3,2.1,3855,0.021,1.0
"r[9]",0.29,0.0023,0.15,0.096,0.26,0.56,3841,0.021,1.00
"r[10]",0.20,0.0018,0.11,0.058,0.17,0.42,3980,0.022,1.0
"r[11]",3.9,0.014,0.80,2.7,3.8,5.3,3454,0.019,1.0
"r[12]",0.61,0.0063,0.34,0.18,0.55,1.3,2957,0.016,1.0
"r[13]",1.2,0.0096,0.50,0.52,1.2,2.1,2707,0.015,1.0
"r[14]",1.8,0.0094,0.55,1.0,1.8,2.8,3451,0.019,1.0
"r[15]",0.65,0.0048,0.28,0.25,0.62,1.1,3384,0.018,1.0
"r[16]",0.94,0.0055,0.33,0.47,0.91,1.5,3544,0.019,1.00
"r[17]",0.33,0.0038,0.21,0.082,0.28,0.73,3006,0.016,1.00
"r[18]",1.1,0.0060,0.34,0.56,1.0,1.7,3251,0.018,1.0
"r[19]",6.8,0.024,1.3,4.9,6.7,9.1,3006,0.016,1.0
"r[20]",1.8,0.012,0.63,0.80,1.7,2.9,2872,0.016,1.00
"r[21]",0.80,0.0049,0.30,0.38,0.77,1.3,3762,0.020,1.0
"r[22]",1.6,0.0073,0.43,0.94,1.5,2.3,3398,0.018,1.0
"r[23]",0.87,0.0069,0.38,0.34,0.83,1.5,2940,0.016,1.0
"r[24]",0.58,0.0059,0.32,0.15,0.53,1.2,2943,0.016,1.0
"r[25]",6.7,0.020,1.2,4.8,6.6,8.8,3617,0.020,1.0
"r[26]",0.33,0.0039,0.22,0.079,0.28,0.75,3134,0.017,1.0
"r[27]",0.96,0.0066,0.39,0.38,0.92,1.7,3593,0.019,1.0
"r[28]",0.87,0.010,0.51,0.20,0.78,1.8,2633,0.014,1.0
"r[29]",1.5,0.0083,0.50,0.73,1.4,2.3,3655,0.020,1.0
"r[30]",0.97,0.0067,0.43,0.36,0.92,1.8,4121,0.022,1.0
"r[31]",0.82,0.0058,0.35,0.32,0.78,1.5,3726,0.020,1.00
"r[32]",3.5,0.013,0.69,2.5,3.5,4.7,3038,0.016,1.0
"r[33]",1.3,0.0069,0.39,0.68,1.2,1.9,3173,0.017,1.0
"r[34]",0.80,0.0056,0.33,0.33,0.76,1.4,3453,0.019,1.0
"r[35]",3.3,0.013,0.74,2.2,3.2,4.6,3253,0.018,1.0
"r[36]",0.47,0.0043,0.27,0.13,0.41,0.98,3893,0.021,1.0
"r[37]",0.86,0.0053,0.30,0.43,0.82,1.4,3210,0.017,1.0
"r[38]",1.5,0.0070,0.42,0.92,1.5,2.3,3666,0.020,1.00
"r[39]",0.84,0.0046,0.29,0.43,0.81,1.4,3904,0.021,1.0
"r[40]",0.90,0.0047,0.29,0.49,0.87,1.4,3841,0.021,1.00
"r[41]",0.71,0.0053,0.29,0.30,0.68,1.2,3013,0.016,1.0
"r[42]",0.36,0.0029,0.20,0.11,0.33,0.73,4520,0.024,1.00
"r[43]",1.2,0.0070,0.38,0.63,1.1,1.9,2995,0.016,1.0
"r[44]",0.89,0.0055,0.36,0.38,0.85,1.5,4324,0.023,1.0
"r[45]",0.91,0.0055,0.30,0.48,0.87,1.5,3086,0.017,1.0
"r[46]",0.24,0.0023,0.14,0.067,0.20,0.52,3877,0.021,1.0
"r[47]",0.63,0.0044,0.26,0.27,0.59,1.1,3439,0.019,1.0
"r[48]",0.91,0.0054,0.30,0.47,0.89,1.5,3110,0.017,1.0
"r[49]",1.2,0.0083,0.48,0.50,1.2,2.0,3409,0.018,1.0
"r[50]",4.0,0.013,0.81,2.7,3.9,5.4,3766,0.020,1.00
"r[51]",2.6,0.011,0.56,1.8,2.6,3.6,2708,0.015,1.0
"r[52]",0.34,0.0037,0.20,0.095,0.30,0.71,2950,0.016,1.0
"r[53]",1.8,0.0085,0.48,1.0,1.7,2.6,3258,0.018,1.0
