name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13128.9,0.265529,11.6364,-13148.6,-13128.5,-13110.5,1920.5,0.0181868,1.0006
"accept_stat__",0.831449,0.00793586,0.230712,0.231814,0.922147,0.997293,845.189,0.0080038,1.00663
"stepsize__",0.14621,0.00631923,0.00774525,0.135761,0.148593,0.154277,1.50225,1.42261e-05,6.1948e+12
"treedepth__",4.5315,0.0396613,1.0535,2,5,5,705.56,0.00668154,1.00276
"n_leapfrog__",27.2148,0.301514,8.31053,5,31,31,759.7,0.00719423,1.0026
"divergent__",0.219833,0.012312,0.414168,0,0,1,1131.62,0.0107162,1.0014
"energy__",13257.9,0.368691,16.2555,13231.3,13257.6,13284.3,1943.91,0.0184085,1.00052
"r[1]",1.9,0.0092,0.55,1.1,1.9,2.9,3613,0.034,1.0
"r[2]",2.0,0.0100,0.58,1.2,2.0,3.1,3322,0.031,1.0
"r[3]",0.41,0.0041,0.24,0.11,0.37,0.87,3491,0.033,1.00
"r[4]",1.4,0.0073,0.41,0.77,1.3,2.1,3197,0.030,1.00
"r[5]",3.4,0.012,0.84,2.1,3.3,4.8,4826,0.046,1.0
"r[6]",0.90,0.0080,0.50,0.24,0.82,1.8,3869,0.037,1.0
"r[7]",1.6,0.0066,0.50,0.83,1.5,2.5,5640,0.053,1.00
"r[8]",1.2,0.0066,0.45,0.57,1.2,2.0,4608,0.044,1.00
"r[9]",0.31,0.0024,0.18,0.090,0.27,0.64,5375,0.051,1.00
"r[10]",1.2,0.0056,0.36,0.68,1.2,1.8,4179,0.040,1.0
"r[11]",2.2,0.012,0.72,1.1,2.2,3.5,3371,0.032,1.0
"r[12]",1.9,0.013,0.74,0.84,1.9,3.2,3017,0.029,1.00
"r[13]",2.1,0.018,0.99,0.60,2.0,3.9,2956,0.028,1.0
"r[14]",1.6,0.016,0.90,0.38,1.4,3.2,3048,0.029,1.00
"r[15]",6.7,0.025,1.6,4.5,6.5,9.5,4103,0.039,1.0
"r[16]",3.7,0.021,1.2,1.8,3.5,5.8,3496,0.033,1.0
"r[17]",0.69,0.0045,0.25,0.34,0.67,1.2,3143,0.030,1.0
"r[18]",0.27,0.0022,0.15,0.082,0.24,0.54,4409,0.042,1.00
"r[19]",1.1,0.0070,0.49,0.37,1.0,1.9,4898,0.046,1.00
"r[20]",3.4,0.022,1.3,1.5,3.3,5.6,3254,0.031,1.00
"r[21]",1.6,0.0067,0.41,0.99,1.6,2.3,3757,0.036,1.0
"r[22]",0.25,0.0025,0.15,0.068,0.22,0.55,3867,0.037,1.00
"r[23]",1.4,0.0077,0.52,0.65,1.3,2.3,4524,0.043,1.0
"r[24]",2.6,0.011,0.68,1.6,2.6,3.8,3800,0.036,1.00
"r[25]",2.5,0.015,0.82,1.3,2.4,4.0,3138,0.030,1.0
"r[26]",3.1,0.013,0.81,1.9,3.1,4.6,3748,0.035,1.0
"r[27]",1.5,0.0098,0.62,0.64,1.4,2.6,4009,0.038,1.0
"r[28]",0.73,0.0084,0.45,0.16,0.64,1.6,2896,0.027,1.0
"r[29]",0.55,0.0061,0.36,0.13,0.48,1.2,3432,0.032,1.0
"r[30]",6.6,0.023,1.5,4.4,6.4,9.4,4230,0.040,1.0
"r[31]",0.81,0.0042,0.27,0.42,0.78,1.3,4147,0.039,1.0
"r[32]",0.19,0.0020,0.11,0.055,0.16,0.42,3281,0.031,1.0
"r[33]",0.48,0.0038,0.25,0.16,0.44,0.95,4326,0.041,1.00
"r[34]",1.2,0.0056,0.37,0.63,1.1,1.8,4531,0.043,1.00
"r[35]",2.9,0.0095,0.62,2.0,2.8,4.0,4184,0.040,1.0
"r[36]",0.42,0.0032,0.22,0.14,0.38,0.82,4654,0.044,1.0
"r[37]",1.2,0.0053,0.34,0.72,1.2,1.8,4144,0.039,1.0
"r[38]",0.30,0.0021,0.15,0.11,0.27,0.58,4839,0.046,1.0
"r[39]",0.60,0.0035,0.23,0.28,0.58,1.0,4301,0.041,1.0
"r[40]",0.76,0.0036,0.26,0.39,0.73,1.2,4985,0.047,1.00
"r[41]",0.62,0.0037,0.24,0.30,0.59,1.1,4044,0.038,1.0
"r[42]",0.23,0.0019,0.13,0.073,0.21,0.49,4980,0.047,1.0
"r[43]",0.69,0.0045,0.32,0.25,0.66,1.3,5027,0.048,1.0
"r[44]",0.57,0.0048,0.31,0.16,0.52,1.2,4295,0.041,1.0
"r[45]",0.23,0.0017,0.12,0.080,0.21,0.45,4976,0.047,1.0
"r[46]",0.22,0.0018,0.12,0.072,0.20,0.46,4432,0.042,1.0
"r[47]",0.86,0.0052,0.33,0.40,0.83,1.5,3947,0.037,1.0
"r[48]",3.2,0.0096,0.67,2.2,3.2,4.4,4845,0.046,1.0
"r[49]",0.63,0.0053,0.32,0.19,0.58,1.2,3767,0.036,1.00
"r[50]",0.57,0.0054,0.29,0.19,0.52,1.1,2905,0.028,1.00
"r[51]",2.5,0.0085,0.58,1.6,2.4,3.5,4615,0.044,1.0
"r[52]",1.1,0.0049,0.37,0.61,1.1,1.8,5621,0.053,1.00
"r[53]",4.1,0.012,0.79,2.9,4.1,5.6,4132,0.039,1.0
"r[54]",1.0,0.0063,0.38,0.46,0.96,1.7,3616,0.034,1.0
"r[55]",0.31,0.0030,0.19,0.084,0.27,0.68,4025,0.038,1.0
"r[56]",0.29,0.0025,0.18,0.077,0.25,0.64,5009,0.047,1.00
"r[57]",1.6,0.017,0.93,0.38,1.5,3.3,2897,0.027,1.00
"r[58]",3.4,0.019,1.1,1.7,3.3,5.2,3375,0.032,1.00
"r[59]",5.1,0.033,1.6,2.7,4.9,7.9,2425,0.023,1.0
"r[60]",6.3,0.030,1.7,3.8,6.1,9.4,3312,0.031,1.0
"r[61]",2.2,0.023,1.2,0.49,2.1,4.5,2744,0.026,1.0
"r[62]",0.74,0.0082,0.45,0.18,0.65,1.6,3013,0.029,1.00
"r[63]",1.9,0.0071,0.47,1.2,1.8,2.7,4437,0.042,1.00
"r[64]",1.3,0.0075,0.39,0.73,1.3,2.0,2776,0.026,1.0
"r[65]",0.68,0.0048,0.28,0.28,0.64,1.2,3589,0.034,1.0
"r[66]",0.88,0.0051,0.32,0.42,0.85,1.5,3878,0.037,1.0
"r[67]",1.8,0.0069,0.48,1.0,1.7,2.6,4923,0.047,1.00
"r[68]",0.51,0.0041,0.27,0.16,0.46,1.0,4497,0.043,1.00
"r[69]",0.97,0.0068,0.33,0.50,0.93,1.6,2382,0.023,1.0
"r[70]",3.9,0.013,0.74,2.8,3.8,5.2,3031,0.029,1.0
