name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12927.1,0.274211,11.636,-12947.1,-12926.7,-12908.6,1800.7,0.00981262,1.00046
"accept_stat__",0.869911,0.00499702,0.183875,0.478185,0.941085,0.997038,1354.01,0.00737849,1.00758
"stepsize__",0.0775222,0.00212306,0.00260217,0.0750459,0.0764032,0.0811175,1.50225,8.18631e-06,5.13453e+12
"treedepth__",5.12867,0.0423781,1.28454,2,6,6,918.789,0.0050068,1.00486
"n_leapfrog__",49.0268,0.630632,19.8955,7,63,63,995.307,0.00542378,1.00451
"divergent__",0.4455,0.0126601,0.497062,0,0,1,1541.51,0.00840022,1.00275
"energy__",13056.1,0.373651,16.2673,13030,13055.9,13083.4,1895.39,0.0103286,1.00021
"r[1]",0.37,0.0037,0.22,0.096,0.33,0.77,3352,0.018,1.00
"r[2]",2.1,0.0085,0.49,1.4,2.1,3.0,3377,0.018,1.0
"r[3]",1.6,0.0085,0.47,0.93,1.6,2.4,2987,0.016,1.0
"r[4]",1.2,0.0068,0.40,0.64,1.2,2.0,3491,0.019,1.00
"r[5]",0.76,0.0077,0.44,0.19,0.67,1.6,3329,0.018,1.0
"r[6]",2.7,0.014,0.72,1.7,2.7,4.0,2627,0.014,1.00
"r[7]",0.54,0.0036,0.22,0.25,0.51,0.95,3654,0.020,1.0
"r[8]",0.34,0.0029,0.17,0.12,0.30,0.67,3523,0.019,1.0
"r[9]",1.3,0.0081,0.46,0.63,1.3,2.1,3313,0.018,1.0
"r[10]",4.4,0.014,0.84,3.1,4.4,5.9,3416,0.019,1.00
"r[11]",0.68,0.0070,0.39,0.19,0.60,1.4,3164,0.017,1.0
"r[12]",1.2,0.0092,0.47,0.49,1.1,2.0,2668,0.015,1.00
"r[13]",3.3,0.019,1.0,1.8,3.2,5.1,2940,0.016,1.0
"r[14]",2.8,0.016,0.96,1.3,2.7,4.5,3646,0.020,1.0
"r[15]",1.1,0.0055,0.32,0.62,1.1,1.7,3494,0.019,1.0
"r[16]",0.34,0.0031,0.18,0.11,0.31,0.69,3353,0.018,1.0
"r[17]",0.24,0.0021,0.14,0.078,0.22,0.51,4147,0.023,1.00
"r[18]",0.91,0.0046,0.29,0.49,0.88,1.4,3976,0.022,1.0
"r[19]",1.0,0.0071,0.35,0.52,1.00,1.7,2391,0.013,1.0
"r[20]",0.47,0.0042,0.24,0.15,0.42,0.93,3401,0.019,1.0
"r[21]",1.9,0.0082,0.49,1.2,1.9,2.8,3613,0.020,1.0
"r[22]",1.4,0.0076,0.43,0.78,1.4,2.2,3280,0.018,1.0
"r[23]",0.28,0.0023,0.15,0.095,0.25,0.56,4109,0.022,1.0
"r[24]",0.31,0.0032,0.16,0.11,0.29,0.61,2502,0.014,1.0
"r[25]",1.6,0.0076,0.46,0.88,1.5,2.4,3700,0.020,1.0
"r[26]",0.45,0.0043,0.25,0.13,0.40,0.91,3301,0.018,1.0
"r[27]",2.5,0.011,0.67,1.4,2.4,3.7,3623,0.020,1.0
"r[28]",0.55,0.0060,0.35,0.13,0.47,1.2,3392,0.018,1.0
"r[29]",4.9,0.024,1.3,3.0,4.8,7.3,3024,0.016,1.00
"r[30]",1.1,0.012,0.71,0.24,0.95,2.5,3712,0.020,1.00
"r[31]",0.42,0.0028,0.18,0.18,0.40,0.76,3946,0.022,1.0
"r[32]",0.17,0.0018,0.10,0.049,0.15,0.37,3368,0.018,1.00
"r[33]",0.62,0.0039,0.24,0.28,0.59,1.1,3698,0.020,1.0
"r[34]",0.85,0.0048,0.29,0.44,0.82,1.4,3708,0.020,1.00
"r[35]",1.0,0.0050,0.31,0.56,0.97,1.6,3889,0.021,1.0
"r[36]",0.26,0.0023,0.14,0.086,0.23,0.54,3818,0.021,1.0
"r[37]",2.4,0.0087,0.51,1.6,2.3,3.3,3420,0.019,1.0
"r[38]",0.37,0.0035,0.20,0.12,0.34,0.75,3385,0.018,1.0
"r[39]",0.62,0.0040,0.26,0.26,0.59,1.1,4185,0.023,1.0
"r[40]",0.68,0.0048,0.28,0.29,0.65,1.2,3409,0.019,1.00
"r[41]",2.6,0.011,0.60,1.7,2.6,3.7,3120,0.017,1.0
"r[42]",0.53,0.0052,0.28,0.17,0.49,1.1,2867,0.016,1.00
"r[43]",0.80,0.0078,0.40,0.26,0.75,1.5,2600,0.014,1.0
"r[44]",1.3,0.0072,0.46,0.63,1.3,2.2,4191,0.023,1.00
"r[45]",1.4,0.018,0.94,0.29,1.3,3.3,2620,0.014,1.0
"r[46]",11,0.043,2.2,7.6,10,15,2639,0.014,1.0
"r[47]",2.3,0.012,0.61,1.4,2.3,3.4,2752,0.015,1.0
"r[48]",1.00,0.0074,0.43,0.38,0.95,1.8,3300,0.018,1.0
"r[49]",2.5,0.014,0.79,1.4,2.5,3.9,3168,0.017,1.00
"r[50]",3.4,0.022,1.2,1.5,3.4,5.5,2987,0.016,1.00
"r[51]",0.31,0.0026,0.17,0.099,0.28,0.64,4446,0.024,1.0
"r[52]",3.3,0.010,0.63,2.3,3.2,4.4,3686,0.020,1.0
"r[53]",1.7,0.0084,0.46,1.1,1.7,2.5,2946,0.016,1.0
"r[54]",1.9,0.0073,0.48,1.2,1.8,2.7,4363,0.024,1.0
"r[55]",0.56,0.0042,0.27,0.19,0.53,1.0,4000,0.022,1.0
"r[56]",0.37,0.0037,0.21,0.11,0.34,0.76,3203,0.017,1.0
"r[57]",0.69,0.0066,0.37,0.20,0.63,1.4,3141,0.017,1.0
"r[58]",1.3,0.012,0.61,0.40,1.2,2.4,2841,0.015,1.0
"r[59]",1.7,0.014,0.80,0.51,1.6,3.1,3045,0.017,1.00
