name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12891.3,0.29997,11.5223,-12911,-12891.2,-12872.8,1475.45,0.0148038,1.00154
"accept_stat__",0.801344,0.135901,0.279858,0.073072,0.934198,0.998499,4.2406,4.25476e-05,1.24622
"stepsize__",0.14185,0.000709947,0.0388854,0.105564,0.124212,0.195773,3000,0.0301002,4.36505e+13
"treedepth__",4.454,0.189736,1.01705,2,5,5,28.7332,0.000288292,1.051
"n_leapfrog__",26.3933,1.89158,8.65816,5,31,31,20.951,0.00021021,1.05806
"divergent__",0.222833,0.0203024,0.416182,0,0,1,420.214,0.00421617,1.01521
"energy__",13020.1,0.376702,15.9875,12994.7,13019.7,13046.5,1801.21,0.0180723,1.00067
"r[1]",2.6,0.011,0.57,1.8,2.6,3.7,2713,0.027,1.00
"r[2]",0.39,0.0050,0.22,0.11,0.35,0.82,2043,0.020,1.0
"r[3]",1.6,0.011,0.48,0.88,1.6,2.4,1898,0.019,1.0
"r[4]",1.0,0.0090,0.40,0.45,0.99,1.7,1957,0.020,1.0
"r[5]",1.0,0.011,0.50,0.33,0.96,1.9,1996,0.020,1.0
"r[6]",1.8,0.015,0.66,0.82,1.7,3.0,2005,0.020,1.0
"r[7]",0.80,0.0078,0.43,0.21,0.74,1.6,3075,0.031,1.0
"r[8]",17,0.081,4.2,12,16,24,2677,0.027,1.0
"r[9]",0.65,0.0045,0.23,0.32,0.62,1.1,2667,0.027,1.00
"r[10]",0.25,0.0024,0.13,0.081,0.22,0.51,3024,0.030,1.0
"r[11]",1.5,0.011,0.45,0.89,1.5,2.4,1561,0.016,1.0
"r[12]",0.70,0.0079,0.40,0.17,0.63,1.5,2596,0.026,1.0
"r[13]",0.73,0.0085,0.40,0.22,0.65,1.5,2222,0.022,1.00
"r[14]",5.0,0.029,1.1,3.5,5.0,7.1,1493,0.015,1.0
"r[15]",1.8,0.010,0.54,0.97,1.7,2.7,2928,0.029,1.0
"r[16]",3.9,0.016,0.82,2.6,3.8,5.3,2762,0.028,1.0
"r[17]",2.4,0.018,0.69,1.4,2.3,3.6,1476,0.015,1.00
"r[18]",2.3,0.012,0.66,1.3,2.2,3.4,3138,0.031,1.0
"r[19]",2.5,0.016,0.75,1.4,2.5,3.8,2222,0.022,1.00
"r[20]",0.56,0.0061,0.33,0.15,0.50,1.2,2920,0.029,1.0
"r[21]",1.4,0.015,0.56,0.53,1.3,2.4,1333,0.013,1.0
"r[22]",4.0,0.024,0.86,2.6,3.9,5.5,1286,0.013,1.00
"r[23]",0.45,0.0038,0.21,0.17,0.42,0.85,3039,0.030,1.0
"r[24]",1.2,0.0078,0.35,0.72,1.2,1.8,2045,0.021,1.0
"r[25]",0.88,0.0094,0.43,0.28,0.83,1.7,2077,0.021,1.0
"r[26]",2.3,0.015,0.72,1.2,2.2,3.6,2353,0.024,1.0
"r[27]",2.2,0.016,0.66,1.2,2.1,3.3,1706,0.017,1.0
"r[28]",0.51,0.0061,0.30,0.14,0.45,1.1,2375,0.024,1.0
"r[29]",1.0,0.0100,0.47,0.38,0.96,1.9,2194,0.022,1.0
"r[30]",0.60,0.0064,0.34,0.16,0.54,1.3,2848,0.029,1.0
"r[31]",3.4,0.016,0.69,2.3,3.3,4.6,1969,0.020,1.0
"r[32]",1.1,0.0073,0.39,0.54,1.1,1.8,2813,0.028,1.0
"r[33]",5.0,0.021,0.93,3.6,4.9,6.7,1920,0.019,1.0
"r[34]",0.27,0.0037,0.17,0.070,0.24,0.60,2107,0.021,1.0
"r[35]",1.1,0.0075,0.38,0.53,1.1,1.8,2628,0.026,1.0
"r[36]",0.61,0.0067,0.33,0.18,0.56,1.2,2373,0.024,1.0
"r[37]",1.4,0.0078,0.40,0.84,1.4,2.1,2653,0.027,1.0
"r[38]",0.64,0.0061,0.26,0.27,0.60,1.1,1900,0.019,1.0
"r[39]",1.4,0.012,0.46,0.69,1.3,2.2,1562,0.016,1.0
"r[40]",1.9,0.0098,0.52,1.1,1.9,2.8,2821,0.028,1.0
"r[41]",1.9,0.011,0.55,1.1,1.9,2.9,2404,0.024,1.0
"r[42]",0.86,0.0062,0.37,0.34,0.81,1.5,3642,0.037,1.00
"r[43]",0.48,0.0062,0.29,0.12,0.43,1.0,2178,0.022,1.0
"r[44]",1.8,0.011,0.54,1.00,1.7,2.8,2359,0.024,1.0
"r[45]",1.2,0.0079,0.42,0.63,1.2,2.0,2778,0.028,1.00
"r[46]",2.2,0.012,0.54,1.3,2.1,3.1,2125,0.021,1.0
"r[47]",1.0,0.0091,0.48,0.33,0.96,1.9,2769,0.028,1.0
"r[48]",8.7,0.033,1.6,6.4,8.6,12,2352,0.024,1.0
"r[49]",0.71,0.0072,0.41,0.18,0.63,1.5,3180,0.032,1.00
"r[50]",0.71,0.0064,0.35,0.24,0.67,1.4,2945,0.030,1.0
"r[51]",0.59,0.0070,0.32,0.18,0.54,1.2,2111,0.021,1.00
"r[52]",1.2,0.0092,0.42,0.57,1.2,1.9,2064,0.021,1.0
"r[53]",0.50,0.0051,0.27,0.15,0.46,1.0,2811,0.028,1.00
"r[54]",0.89,0.0077,0.34,0.38,0.86,1.5,1954,0.020,1.0
"r[55]",2.2,0.019,0.92,0.78,2.1,3.8,2320,0.023,1.0
"r[56]",6.7,0.031,1.5,4.5,6.5,9.5,2370,0.024,1.0
"r[57]",2.2,0.023,1.0,0.73,2.1,4.0,1907,0.019,1.0
"r[58]",0.92,0.013,0.49,0.26,0.84,1.8,1415,0.014,1.0
"r[59]",2.7,0.019,0.76,1.6,2.6,4.1,1655,0.017,1.0
"r[60]",0.53,0.0053,0.32,0.13,0.47,1.1,3742,0.038,1.0
"r[61]",2.7,0.016,0.76,1.5,2.6,4.0,2364,0.024,1.00
"r[62]",2.6,0.013,0.74,1.5,2.6,4.0,3037,0.030,1.0
"r[63]",1.1,0.0067,0.34,0.64,1.1,1.8,2612,0.026,1.0
"r[64]",0.79,0.0059,0.28,0.40,0.76,1.3,2289,0.023,1.0
"r[65]",0.94,0.0055,0.32,0.47,0.90,1.5,3409,0.034,1.0
"r[66]",1.8,0.0077,0.46,1.1,1.7,2.6,3474,0.035,1.00
"r[67]",0.77,0.0061,0.31,0.32,0.73,1.3,2685,0.027,1.00
"r[68]",0.33,0.0030,0.20,0.091,0.29,0.71,4165,0.042,1.0
"r[69]",0.92,0.0083,0.30,0.50,0.88,1.5,1265,0.013,1.0
"r[70]",0.39,0.0033,0.19,0.13,0.36,0.75,3303,0.033,1.0
"r[71]",2.0,0.0095,0.48,1.3,2.0,2.9,2576,0.026,1.0
"r[72]",0.39,0.0045,0.21,0.13,0.35,0.79,2190,0.022,1.0
"r[73]",1.2,0.010,0.47,0.51,1.2,2.1,2158,0.022,1.0
"r[74]",0.70,0.0092,0.38,0.19,0.63,1.4,1724,0.017,1.0
"r[75]",5.3,0.019,1.1,3.7,5.2,7.2,3263,0.033,1.0
"r[76]",0.85,0.013,0.50,0.22,0.76,1.8,1613,0.016,1.0
"r[77]",0.90,0.0074,0.34,0.40,0.86,1.5,2159,0.022,1.0
"r[78]",1.7,0.0079,0.46,1.0,1.7,2.5,3430,0.034,1.00
"r[79]",0.95,0.0082,0.41,0.36,0.90,1.7,2528,0.025,1.0
"r[80]",4.9,0.022,0.99,3.5,4.8,6.7,2086,0.021,1.0
"r[81]",0.87,0.0076,0.42,0.30,0.81,1.7,3004,0.030,1.0
"r[82]",1.3,0.0083,0.46,0.65,1.3,2.1,3084,0.031,1.0
"r[83]",13,0.068,3.4,9.0,13,20,2522,0.025,1.0
"r[84]",5.6,0.036,1.6,2.9,5.6,8.2,2117,0.021,1.0
"r[85]",0.88,0.0061,0.30,0.44,0.84,1.4,2444,0.025,1.0
"r[86]",0.34,0.0036,0.19,0.10,0.31,0.70,2869,0.029,1.0
"r[87]",1.0,0.011,0.55,0.27,0.93,2.0,2607,0.026,1.0
"r[88]",1.4,0.029,1.2,0.23,1.1,3.8,1714,0.017,1.0
"r[89]",1.9,0.014,0.72,0.75,1.8,3.2,2549,0.026,1.0
"r[90]",0.47,0.0050,0.29,0.12,0.41,1.0,3314,0.033,1.0
"r[91]",2.8,0.013,0.75,1.7,2.7,4.1,3231,0.032,1.0
"r[92]",2.6,0.015,0.78,1.4,2.5,4.0,2891,0.029,1.0
"r[93]",4.2,0.015,0.82,3.0,4.2,5.6,3031,0.030,1.0
"r[94]",1.1,0.0084,0.42,0.53,1.1,1.9,2482,0.025,1.0
"r[95]",0.58,0.0044,0.23,0.26,0.55,0.99,2830,0.028,1.0
"r[96]",0.90,0.0075,0.30,0.47,0.87,1.4,1633,0.016,1.0
"r[97]",0.88,0.0075,0.36,0.35,0.84,1.5,2354,0.024,1.0
"r[98]",0.69,0.0071,0.35,0.22,0.64,1.3,2488,0.025,1.0
"r[99]",0.48,0.0048,0.24,0.16,0.44,0.93,2574,0.026,1.0
"r[100]",2.8,0.012,0.59,2.0,2.8,3.9,2422,0.024,1.00
"r[101]",1.3,0.0090,0.36,0.74,1.2,1.9,1577,0.016,1.0
"r[102]",0.23,0.0028,0.14,0.066,0.20,0.50,2470,0.025,1.0
"r[103]",0.57,0.0046,0.26,0.21,0.53,1.1,3282,0.033,1.0
"r[104]",0.80,0.0064,0.34,0.32,0.75,1.4,2809,0.028,1.0
"r[105]",1.1,0.0078,0.42,0.46,1.0,1.8,2967,0.030,1.0
"r[106]",2.1,0.013,0.59,1.2,2.0,3.1,2163,0.022,1.0
"r[107]",1.5,0.0084,0.47,0.76,1.4,2.3,3120,0.031,1.0
"r[108]",0.62,0.0067,0.34,0.17,0.56,1.3,2595,0.026,1.00
"r[109]",2.5,0.011,0.56,1.7,2.5,3.5,2748,0.028,1.00
