name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12821.5,0.277494,11.6018,-12841.2,-12821.2,-12803,1748.01,0.0191983,1.00096
"accept_stat__",0.865426,0.052923,0.171225,0.563281,0.92581,0.998608,10.4676,0.000114966,1.08094
"stepsize__",0.185988,0.0597172,0.0731933,0.0831224,0.227492,0.247349,1.50225,1.64992e-05,3.77791e+13
"treedepth__",3.92017,0.701767,1.35392,1,4,6,3.7222,4.08809e-05,1.25994
"n_leapfrog__",23.904,13.9601,20.3661,3,15,63,2.12833,2.33755e-05,1.76184
"divergent__",0.4055,0.0152142,0.491029,0,0,1,1041.64,0.0114403,1.01219
"energy__",12950.8,0.382812,16.2183,12924.6,12950.8,12977.7,1794.89,0.0197133,1.00067
"r[1]",1.9,0.0089,0.56,1.1,1.8,2.9,4061,0.045,1.00
"r[2]",2.3,0.0091,0.60,1.4,2.2,3.3,4258,0.047,1.0
"r[3]",0.91,0.0054,0.37,0.38,0.87,1.6,4743,0.052,1.00
"r[4]",4.0,0.013,0.81,2.8,3.9,5.5,3917,0.043,1.0
"r[5]",0.69,0.0063,0.35,0.22,0.63,1.3,3088,0.034,1.00
"r[6]",2.3,0.0099,0.63,1.3,2.2,3.4,4067,0.045,1.00
"r[7]",2.6,0.0087,0.55,1.8,2.6,3.6,4062,0.045,1.0
"r[8]",0.57,0.0041,0.24,0.24,0.54,1.0,3583,0.039,1.00
"r[9]",1.8,0.0069,0.43,1.2,1.8,2.6,3870,0.043,1.00
"r[10]",0.29,0.0021,0.14,0.099,0.26,0.55,4583,0.050,1.00
"r[11]",0.28,0.0025,0.15,0.089,0.25,0.58,3768,0.041,1.0
"r[12]",0.37,0.0028,0.19,0.12,0.33,0.73,4618,0.051,1.0
"r[13]",0.21,0.0020,0.13,0.062,0.18,0.45,4159,0.046,1.0
"r[14]",0.91,0.0060,0.37,0.39,0.86,1.6,3762,0.041,1.00
"r[15]",1.6,0.0080,0.51,0.81,1.5,2.5,3976,0.044,1.00
"r[16]",4.0,0.014,0.83,2.8,4.0,5.5,3622,0.040,1.0
"r[17]",2.7,0.0092,0.59,1.8,2.7,3.7,4101,0.045,1.0
"r[18]",0.65,0.0045,0.29,0.25,0.61,1.2,4358,0.048,1.00
"r[19]",0.88,0.0057,0.38,0.35,0.83,1.6,4309,0.047,1.00
"r[20]",0.90,0.0069,0.43,0.32,0.85,1.7,3838,0.042,1.0
"r[21]",0.35,0.0031,0.20,0.095,0.31,0.74,4222,0.046,1.0
"r[22]",2.4,0.0086,0.52,1.6,2.3,3.3,3718,0.041,1.00
"r[23]",2.2,0.0080,0.50,1.5,2.2,3.1,3960,0.043,1.0
"r[24]",0.53,0.0039,0.25,0.21,0.50,1.0,4000,0.044,1.0
"r[25]",0.54,0.0042,0.27,0.18,0.49,1.0,3991,0.044,1.0
"r[26]",1.3,0.0069,0.41,0.72,1.3,2.1,3524,0.039,1.0
"r[27]",0.87,0.0058,0.37,0.34,0.82,1.5,4163,0.046,1.0
"r[28]",1.3,0.0073,0.46,0.59,1.2,2.1,3885,0.043,1.0
"r[29]",1.5,0.0065,0.45,0.79,1.4,2.3,4763,0.052,1.00
"r[30]",0.36,0.0028,0.19,0.12,0.33,0.72,4406,0.048,1.0
"r[31]",1.1,0.0064,0.40,0.57,1.1,1.9,3847,0.042,1.0
