name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13047.6,0.294442,11.7082,-13067.6,-13047.1,-13029.2,1581.18,0.00919682,0.999848
"accept_stat__",0.843708,0.0110761,0.208729,0.346104,0.92669,0.995857,355.136,0.00206562,1.02039
"stepsize__",0.0878029,0.00507294,0.00621772,0.0790214,0.0918137,0.0925736,1.50225,8.73774e-06,9.1223e+12
"treedepth__",4.972,0.0528529,1.34183,2,5,6,644.554,0.003749,1.00894
"n_leapfrog__",46.029,0.822833,21.0183,5,63,63,652.487,0.00379514,1.0114
"divergent__",0.477667,0.015586,0.499543,0,0,1,1027.25,0.0059749,1.00371
"energy__",13176.4,0.394115,16.3398,13150.6,13175.9,13203.8,1718.89,0.00999777,1.00007
"r[1]",0.95,0.0057,0.34,0.46,0.92,1.6,3583,0.021,1.0
"r[2]",3.7,0.012,0.73,2.6,3.6,5.0,3460,0.020,1.00
"r[3]",0.25,0.0023,0.13,0.084,0.22,0.49,3098,0.018,1.00
"r[4]",0.20,0.0019,0.12,0.061,0.18,0.42,3600,0.021,1.0
"r[5]",0.71,0.0058,0.30,0.28,0.68,1.3,2782,0.016,1.0
"r[6]",0.58,0.0052,0.30,0.17,0.53,1.1,3313,0.019,1.0
"r[7]",19,0.10,5.0,13,18,28,2333,0.014,1.0
"r[8]",0.72,0.0068,0.37,0.20,0.67,1.4,2938,0.017,1.0
"r[9]",0.41,0.0037,0.21,0.14,0.38,0.80,3295,0.019,1.00
"r[10]",2.7,0.0100,0.57,1.8,2.6,3.7,3299,0.019,1.0
"r[11]",0.45,0.0041,0.23,0.15,0.41,0.88,3298,0.019,1.0
"r[12]",0.61,0.0057,0.35,0.15,0.55,1.3,3748,0.022,1.00
"r[13]",0.75,0.0063,0.38,0.23,0.69,1.5,3634,0.021,1.0
"r[14]",1.7,0.011,0.57,0.87,1.7,2.7,2765,0.016,1.0
"r[15]",1.8,0.0099,0.53,1.0,1.8,2.8,2850,0.017,1.0
"r[16]",1.7,0.0086,0.51,0.98,1.7,2.7,3519,0.020,1.00
"r[17]",1.5,0.0068,0.41,0.91,1.5,2.2,3671,0.021,1.00
"r[18]",0.49,0.0039,0.24,0.18,0.45,0.93,3658,0.021,1.0
"r[19]",0.47,0.0061,0.32,0.10,0.40,1.1,2663,0.015,1.00
"r[20]",1.9,0.012,0.60,1.0,1.9,3.0,2635,0.015,1.0
"r[21]",4.5,0.016,0.97,3.1,4.5,6.3,3698,0.022,1.0
"r[22]",1.6,0.011,0.63,0.70,1.6,2.8,3034,0.018,1.0
"r[23]",0.89,0.0052,0.33,0.41,0.86,1.5,3978,0.023,1.00
"r[24]",0.41,0.0044,0.24,0.11,0.37,0.88,3025,0.018,1.0
"r[25]",6.6,0.024,1.4,4.6,6.5,9.1,3323,0.019,1.0
"r[26]",1.2,0.013,0.72,0.29,1.1,2.6,2860,0.017,1.0
"r[27]",1.2,0.011,0.71,0.30,1.1,2.6,3881,0.023,1.0
"r[28]",5.2,0.020,1.2,3.5,5.0,7.2,3469,0.020,1.0
"r[29]",1.1,0.012,0.70,0.23,0.93,2.4,3465,0.020,1.00
"r[30]",1.7,0.015,0.81,0.54,1.6,3.2,2848,0.017,1.00
"r[31]",0.39,0.0039,0.21,0.12,0.35,0.78,2873,0.017,1.0
"r[32]",3.2,0.011,0.62,2.3,3.2,4.3,3513,0.020,1.0
"r[33]",9.2,0.038,1.8,6.8,9.0,12,2166,0.013,1.0
"r[34]",0.52,0.0072,0.37,0.11,0.43,1.3,2622,0.015,1.0
"r[35]",3.2,0.012,0.71,2.1,3.1,4.4,3769,0.022,1.0
"r[36]",0.67,0.0047,0.30,0.26,0.63,1.2,4098,0.024,1.0
"r[37]",3.4,0.011,0.69,2.4,3.4,4.6,3644,0.021,1.0
"r[38]",0.52,0.0049,0.26,0.17,0.47,1.0,2897,0.017,1.0
"r[39]",5.8,0.018,1.0,4.3,5.8,7.6,3368,0.020,1.0
"r[40]",0.64,0.0068,0.35,0.18,0.58,1.3,2663,0.015,1.00
"r[41]",1.6,0.0088,0.50,0.83,1.6,2.5,3306,0.019,1.0
"r[42]",0.73,0.0062,0.31,0.28,0.69,1.3,2555,0.015,1.0
"r[43]",0.30,0.0034,0.19,0.079,0.25,0.66,3295,0.019,1.0
"r[44]",0.52,0.0044,0.28,0.15,0.48,1.0,3987,0.023,1.0
"r[45]",0.76,0.0050,0.29,0.34,0.73,1.3,3522,0.020,1.00
"r[46]",1.8,0.0080,0.47,1.2,1.8,2.7,3506,0.020,1.0
"r[47]",1.1,0.0059,0.37,0.54,1.0,1.7,3930,0.023,1.0
"r[48]",2.2,0.0089,0.53,1.4,2.1,3.1,3620,0.021,1.0
"r[49]",1.0,0.0065,0.40,0.45,0.98,1.8,3751,0.022,1.0
"r[50]",0.53,0.0048,0.29,0.16,0.48,1.1,3708,0.022,1.00
"r[51]",0.39,0.0034,0.22,0.12,0.35,0.82,4266,0.025,1.00
"r[52]",1.6,0.0086,0.43,0.97,1.6,2.4,2505,0.015,1.0
"r[53]",0.71,0.0068,0.38,0.21,0.65,1.4,3113,0.018,1.0
"r[54]",6.4,0.024,1.2,4.7,6.3,8.6,2409,0.014,1.0
"r[55]",1.0,0.0080,0.46,0.37,0.96,1.9,3262,0.019,1.0
"r[56]",2.3,0.012,0.62,1.4,2.3,3.4,2807,0.016,1.0
"r[57]",0.88,0.0074,0.43,0.29,0.83,1.7,3374,0.020,1.00
"r[58]",1.8,0.010,0.57,0.96,1.7,2.8,3025,0.018,1.0
"r[59]",1.4,0.011,0.58,0.53,1.3,2.4,3021,0.018,1.0
"r[60]",2.8,0.013,0.74,1.7,2.8,4.2,3286,0.019,1.0
"r[61]",0.81,0.0090,0.53,0.18,0.69,1.8,3434,0.020,1.0
"r[62]",7.5,0.033,1.8,4.9,7.3,11,2991,0.017,1.0
"r[63]",6.7,0.022,1.1,5.0,6.6,8.7,2834,0.016,1.0
"r[64]",0.53,0.0046,0.26,0.18,0.49,1.0,3137,0.018,1.0
"r[65]",0.66,0.0042,0.25,0.31,0.63,1.1,3525,0.021,1.0
"r[66]",2.0,0.0076,0.45,1.3,2.0,2.8,3460,0.020,1.00
"r[67]",0.30,0.0031,0.18,0.087,0.27,0.63,3238,0.019,1.0
"r[68]",0.37,0.0041,0.21,0.10,0.32,0.77,2685,0.016,1.0
"r[69]",1.9,0.0081,0.47,1.2,1.9,2.8,3455,0.020,1.0
"r[70]",0.47,0.0049,0.26,0.14,0.43,0.98,2865,0.017,1.00
"r[71]",0.68,0.0049,0.27,0.30,0.65,1.2,3065,0.018,1.0
"r[72]",1.1,0.0059,0.34,0.62,1.1,1.7,3391,0.020,1.0
"r[73]",0.78,0.0079,0.42,0.22,0.71,1.6,2866,0.017,1.0
"r[74]",1.7,0.0096,0.55,0.81,1.6,2.6,3292,0.019,1.0
"r[75]",4.4,0.018,0.96,3.0,4.4,6.1,2862,0.017,1.0
"r[76]",1.5,0.010,0.57,0.64,1.4,2.5,3124,0.018,1.0
"r[77]",0.50,0.0032,0.20,0.22,0.47,0.86,4016,0.023,1.00
"r[78]",0.84,0.0041,0.27,0.45,0.81,1.3,4326,0.025,1.00
"r[79]",0.49,0.0044,0.24,0.16,0.45,0.94,3077,0.018,1.0
"r[80]",4.3,0.014,0.79,3.1,4.2,5.7,3053,0.018,1.0
"r[81]",0.53,0.0047,0.27,0.16,0.49,1.0,3235,0.019,1.0
"r[82]",0.28,0.0027,0.17,0.075,0.24,0.60,3809,0.022,1.0
"r[83]",2.3,0.0097,0.55,1.5,2.3,3.3,3204,0.019,1.0
"r[84]",1.8,0.0086,0.46,1.1,1.7,2.6,2881,0.017,1.0
"r[85]",0.39,0.0032,0.18,0.15,0.37,0.72,3143,0.018,1.00
"r[86]",0.32,0.0029,0.16,0.11,0.30,0.61,3020,0.018,1.0
"r[87]",0.85,0.0056,0.31,0.41,0.81,1.4,3108,0.018,1.0
"r[88]",0.42,0.0039,0.23,0.13,0.37,0.85,3522,0.020,1.0
"r[89]",0.78,0.0071,0.43,0.21,0.71,1.6,3629,0.021,1.0
"r[90]",5.8,0.020,1.1,4.2,5.7,7.8,3150,0.018,1.0
"r[91]",0.61,0.0061,0.37,0.15,0.54,1.3,3527,0.021,1.0
"r[92]",0.81,0.0091,0.48,0.21,0.72,1.7,2748,0.016,1.00
"r[93]",0.83,0.0072,0.35,0.33,0.80,1.5,2432,0.014,1.00
"r[94]",1.0,0.0069,0.38,0.47,1.0,1.7,2984,0.017,1.0
"r[95]",0.42,0.0032,0.20,0.15,0.40,0.79,3910,0.023,1.00
"r[96]",0.38,0.0033,0.19,0.13,0.35,0.74,3342,0.019,1.0
"r[97]",4.6,0.018,1.00,3.1,4.6,6.4,3025,0.018,1.0
"r[98]",3.4,0.016,0.87,2.2,3.4,5.0,2991,0.017,1.0
"r[99]",0.43,0.0035,0.20,0.17,0.39,0.80,3098,0.018,1.0
"r[100]",0.38,0.0034,0.18,0.14,0.35,0.72,2785,0.016,1.00
"r[101]",1.9,0.0080,0.46,1.2,1.9,2.7,3333,0.019,1.0
"r[102]",0.42,0.0037,0.22,0.13,0.38,0.83,3646,0.021,1.00
"r[103]",1.7,0.0081,0.48,0.99,1.7,2.5,3508,0.020,1.0
"r[104]",1.3,0.0068,0.41,0.70,1.3,2.0,3578,0.021,1.00
"r[105]",0.52,0.0058,0.31,0.13,0.46,1.1,2785,0.016,1.0
"r[106]",1.0,0.0097,0.55,0.28,0.93,2.1,3259,0.019,1.00
"r[107]",0.28,0.0024,0.14,0.095,0.25,0.56,3570,0.021,1.0
"r[108]",0.37,0.0026,0.16,0.15,0.34,0.67,4014,0.023,1.0
"r[109]",6.7,0.022,1.2,5.0,6.6,8.9,3025,0.018,1.0
"r[110]",0.71,0.0065,0.35,0.22,0.68,1.4,2956,0.017,1.0
"r[111]",0.92,0.0069,0.39,0.36,0.89,1.6,3132,0.018,1.0
"r[112]",0.50,0.0043,0.22,0.20,0.47,0.92,2764,0.016,1.0
"r[113]",1.5,0.0076,0.42,0.90,1.5,2.3,3041,0.018,1.00
"r[114]",1.8,0.0075,0.45,1.1,1.8,2.6,3606,0.021,1.0
"r[115]",1.3,0.0066,0.37,0.74,1.2,1.9,3110,0.018,1.0
"r[116]",0.46,0.0036,0.22,0.17,0.42,0.87,3754,0.022,1.0
"r[117]",2.2,0.0092,0.55,1.4,2.1,3.2,3534,0.021,1.0
"r[118]",0.57,0.0045,0.28,0.19,0.53,1.1,3889,0.023,1.0
"r[119]",0.75,0.0052,0.30,0.33,0.70,1.3,3207,0.019,1.0
"r[120]",0.28,0.0029,0.16,0.077,0.24,0.60,3264,0.019,1.00
"r[121]",1.3,0.011,0.61,0.37,1.2,2.3,3293,0.019,1.0
"r[122]",1.0,0.011,0.57,0.28,0.97,2.1,2861,0.017,1.00
"r[123]",8.3,0.031,1.8,5.8,8.1,11,3151,0.018,1.0
"r[124]",0.79,0.0090,0.50,0.17,0.69,1.7,3056,0.018,1.0
"r[125]",0.66,0.0075,0.45,0.15,0.55,1.6,3514,0.020,1.0
"r[126]",0.76,0.0091,0.50,0.17,0.66,1.7,3020,0.018,1.00
"r[127]",1.7,0.0096,0.51,0.91,1.6,2.6,2779,0.016,1.00
"r[128]",0.80,0.0072,0.39,0.26,0.74,1.5,2957,0.017,1.00
"r[129]",1.6,0.0088,0.47,0.91,1.6,2.5,2844,0.017,1.0
"r[130]",1.0,0.0072,0.39,0.48,1.0,1.8,2931,0.017,1.0
"r[131]",0.53,0.0054,0.31,0.14,0.46,1.1,3299,0.019,1.00
"r[132]",4.2,0.014,0.88,2.9,4.2,5.8,3972,0.023,1.00
"r[133]",0.24,0.0022,0.14,0.069,0.21,0.49,3885,0.023,1.00
"r[134]",0.67,0.0041,0.24,0.33,0.64,1.1,3433,0.020,1.0
"r[135]",0.82,0.0057,0.33,0.35,0.78,1.4,3307,0.019,1.00
"r[136]",3.2,0.013,0.65,2.2,3.1,4.3,2387,0.014,1.0
"r[137]",0.38,0.0038,0.23,0.11,0.34,0.82,3452,0.020,1.0
"r[138]",2.0,0.0094,0.51,1.3,2.0,2.9,2914,0.017,1.00
