name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12837.2,0.32193,11.8499,-12857,-12836.7,-12818.4,1354.9,0.0273109,1.00122
"accept_stat__",0.802623,0.00575736,0.203264,0.454056,0.856068,0.994222,1246.44,0.0251248,1.00317
"stepsize__",0.212274,0.00641249,0.00785956,0.201548,0.215117,0.220158,1.50225,3.02813e-05,6.33365e+12
"treedepth__",3.1665,0.0359114,1.14935,1,4,4,1024.32,0.0206475,1.00486
"n_leapfrog__",12.6573,1.48903,6.70289,2,15,28,20.2636,0.000408458,1.04987
"divergent__",0.549667,0.0468556,0.497569,0,1,1,112.767,0.00227307,1.01786
"energy__",12966.1,0.426254,16.4566,12939.5,12965.7,12994.3,1490.55,0.0300453,1.00136
"r[1]",0.66,0.0063,0.27,0.28,0.62,1.2,1851,0.037,1.0
"r[2]",1.1,0.0076,0.35,0.61,1.1,1.8,2114,0.043,1.0
"r[3]",0.36,0.0038,0.19,0.11,0.33,0.72,2523,0.051,1.0
"r[4]",1.2,0.0080,0.35,0.69,1.2,1.8,1975,0.040,1.0
"r[5]",2.0,0.012,0.54,1.2,2.0,3.0,2191,0.044,1.0
"r[6]",0.59,0.0064,0.31,0.18,0.54,1.2,2400,0.048,1.0
"r[7]",19,0.17,5.4,13,18,30,1058,0.021,1.0
"r[8]",1.2,0.016,0.60,0.30,1.1,2.3,1394,0.028,1.0
"r[9]",6.3,0.027,1.1,4.7,6.2,8.3,1742,0.035,1.0
"r[10]",0.41,0.0055,0.26,0.11,0.35,0.92,2292,0.046,1.0
"r[11]",1.6,0.011,0.52,0.84,1.6,2.5,2204,0.044,1.00
"r[12]",0.78,0.014,0.51,0.17,0.66,1.8,1401,0.028,1.0
"r[13]",0.96,0.011,0.55,0.25,0.88,2.0,2343,0.047,1.0
"r[14]",2.2,0.016,0.73,1.0,2.1,3.4,2135,0.043,1.00
"r[15]",0.92,0.0065,0.33,0.45,0.88,1.5,2509,0.051,1.0
"r[16]",0.83,0.0063,0.30,0.40,0.78,1.4,2330,0.047,1.0
"r[17]",1.6,0.0091,0.41,0.95,1.5,2.3,2046,0.041,1.0
"r[18]",0.37,0.0041,0.20,0.12,0.34,0.76,2399,0.048,1.0
"r[19]",1.4,0.0096,0.48,0.69,1.3,2.2,2504,0.050,1.0
"r[20]",1.4,0.010,0.49,0.69,1.4,2.3,2405,0.048,1.0
"r[21]",2.2,0.013,0.55,1.3,2.1,3.1,1932,0.039,1.0
"r[22]",0.93,0.0085,0.41,0.35,0.89,1.7,2359,0.048,1.0
"r[23]",1.5,0.0090,0.42,0.85,1.4,2.2,2210,0.045,1.00
"r[24]",0.79,0.0063,0.32,0.34,0.76,1.4,2516,0.051,1.0
"r[25]",0.42,0.0051,0.27,0.11,0.36,0.96,2695,0.054,1.0
"r[26]",2.9,0.015,0.70,1.9,2.9,4.2,2319,0.047,1.0
"r[27]",2.6,0.017,0.77,1.5,2.6,4.0,1956,0.039,1.0
"r[28]",0.91,0.012,0.55,0.23,0.80,1.9,2119,0.043,1.0
"r[29]",4.7,0.028,1.3,2.8,4.6,7.1,2240,0.045,1.0
"r[30]",4.5,0.030,1.3,2.5,4.4,6.8,1830,0.037,1.0
"r[31]",0.49,0.0048,0.20,0.21,0.46,0.85,1760,0.035,1.0
"r[32]",0.18,0.0020,0.11,0.054,0.16,0.39,2733,0.055,1.0
"r[33]",1.4,0.0088,0.39,0.86,1.4,2.2,2008,0.040,1.0
"r[34]",0.68,0.0058,0.27,0.32,0.65,1.2,2086,0.042,1.0
"r[35]",0.99,0.0075,0.35,0.50,0.95,1.6,2221,0.045,1.0
"r[36]",0.86,0.0068,0.31,0.42,0.82,1.4,2111,0.043,1.0
"r[37]",1.5,0.0090,0.40,0.92,1.5,2.2,1929,0.039,1.00
"r[38]",0.61,0.0052,0.26,0.24,0.57,1.1,2502,0.050,1.0
"r[39]",1.6,0.0085,0.41,1.0,1.6,2.3,2319,0.047,1.0
"r[40]",0.29,0.0033,0.16,0.096,0.26,0.58,2297,0.046,1.0
"r[41]",0.45,0.0052,0.25,0.14,0.40,0.93,2283,0.046,1.0
"r[42]",1.2,0.0089,0.38,0.63,1.2,1.9,1856,0.037,1.0
"r[43]",1.6,0.0094,0.46,0.88,1.5,2.4,2403,0.048,1.0
