name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12891.6,0.284131,11.9889,-12911.6,-12891.3,-12872.3,1780.41,0.0165587,1.00066
"accept_stat__",0.856123,0.0595143,0.214217,0.312606,0.940732,0.998519,12.9559,0.000120497,1.07322
"stepsize__",0.129665,0.0164789,0.0201976,0.110162,0.121347,0.157487,1.50225,1.39718e-05,1.87445e+13
"treedepth__",4.59033,0.0304406,0.920135,2,5,5,913.682,0.00849774,1.00395
"n_leapfrog__",27.6098,0.248623,7.61266,7,31,31,937.54,0.00871963,1.00434
"divergent__",0.218667,0.0109211,0.413376,0,0,1,1432.71,0.013325,1.00348
"energy__",13020.8,0.383479,16.4489,12993.8,13020.5,13048.6,1839.87,0.0171118,1.0013
"r[1]",2.6,0.0087,0.59,1.7,2.6,3.6,4509,0.042,1.00
"r[2]",0.40,0.0035,0.23,0.11,0.35,0.83,4369,0.041,1.0
"r[3]",1.6,0.0082,0.49,0.91,1.6,2.5,3565,0.033,1.0
"r[4]",1.0,0.0065,0.39,0.48,0.99,1.7,3613,0.034,1.0
"r[5]",1.0,0.0078,0.49,0.34,0.96,1.9,3992,0.037,1.0
"r[6]",1.8,0.010,0.64,0.84,1.7,2.9,3792,0.035,1.0
"r[7]",0.80,0.0069,0.42,0.23,0.75,1.6,3661,0.034,1.00
"r[8]",17,0.068,4.1,12,16,25,3648,0.034,1.00
"r[9]",0.65,0.0034,0.23,0.31,0.62,1.1,4841,0.045,1.0
"r[10]",0.25,0.0020,0.14,0.079,0.22,0.50,4425,0.041,1.00
"r[11]",1.5,0.0072,0.45,0.86,1.5,2.3,3919,0.036,1.0
"r[12]",0.69,0.0067,0.39,0.17,0.63,1.4,3468,0.032,1.0
"r[13]",0.72,0.0064,0.40,0.20,0.65,1.5,3817,0.036,1.0
"r[14]",5.0,0.018,1.1,3.4,4.9,6.9,3767,0.035,1.00
"r[15]",1.8,0.0088,0.53,0.98,1.7,2.7,3621,0.034,1.00
"r[16]",3.9,0.013,0.81,2.7,3.8,5.4,3678,0.034,1.0
"r[17]",2.4,0.012,0.69,1.4,2.4,3.7,3070,0.029,1.0
"r[18]",2.2,0.011,0.67,1.2,2.2,3.4,3532,0.033,1.00
"r[19]",2.6,0.012,0.74,1.5,2.5,3.8,4000,0.037,1.00
"r[20]",0.57,0.0051,0.33,0.15,0.50,1.2,4293,0.040,1.0
"r[21]",1.4,0.0094,0.55,0.54,1.3,2.4,3440,0.032,1.0
"r[22]",4.0,0.014,0.86,2.7,3.9,5.5,3636,0.034,1.0
"r[23]",0.45,0.0034,0.22,0.16,0.41,0.85,4049,0.038,1.0
"r[24]",1.2,0.0057,0.36,0.71,1.2,1.9,3986,0.037,1.0
"r[25]",0.88,0.0067,0.42,0.28,0.83,1.6,3998,0.037,1.0
"r[26]",2.3,0.011,0.71,1.2,2.2,3.6,3918,0.036,1.00
"r[27]",2.2,0.0099,0.66,1.2,2.1,3.3,4403,0.041,1.00
"r[28]",0.51,0.0046,0.30,0.14,0.45,1.1,4275,0.040,1.0
"r[29]",1.0,0.0071,0.47,0.38,0.99,1.9,4388,0.041,1.00
"r[30]",0.60,0.0058,0.35,0.16,0.54,1.3,3657,0.034,1.00
"r[31]",3.3,0.0092,0.67,2.3,3.3,4.5,5312,0.049,1.00
"r[32]",1.1,0.0061,0.40,0.54,1.1,1.8,4350,0.040,1.0
"r[33]",5.0,0.015,0.91,3.6,4.9,6.6,3726,0.035,1.0
"r[34]",0.27,0.0026,0.17,0.075,0.23,0.58,3932,0.037,1.00
"r[35]",1.1,0.0065,0.40,0.50,1.0,1.8,3819,0.036,1.0
"r[36]",0.60,0.0056,0.32,0.18,0.54,1.2,3324,0.031,1.0
"r[37]",1.4,0.0053,0.38,0.86,1.4,2.1,5210,0.048,1.0
"r[38]",0.64,0.0039,0.26,0.27,0.60,1.1,4701,0.044,1.0
"r[39]",1.4,0.0077,0.46,0.70,1.3,2.2,3524,0.033,1.0
"r[40]",1.9,0.0085,0.53,1.1,1.9,2.9,3860,0.036,1.00
"r[41]",1.9,0.0096,0.54,1.1,1.9,2.9,3135,0.029,1.0
"r[42]",0.86,0.0063,0.37,0.33,0.82,1.5,3440,0.032,1.0
"r[43]",0.49,0.0042,0.28,0.13,0.43,1.0,4551,0.042,1.0
"r[44]",1.8,0.0081,0.53,1.0,1.7,2.7,4290,0.040,1.0
"r[45]",1.2,0.0066,0.42,0.60,1.2,2.0,3930,0.037,1.00
"r[46]",2.2,0.0083,0.55,1.4,2.1,3.2,4393,0.041,1.00
"r[47]",1.0,0.0082,0.47,0.33,0.97,1.9,3360,0.031,1.0
"r[48]",8.7,0.025,1.6,6.4,8.5,12,4090,0.038,1.00
"r[49]",0.71,0.0071,0.41,0.18,0.65,1.5,3314,0.031,1.0
"r[50]",0.72,0.0058,0.36,0.23,0.67,1.4,3755,0.035,1.0
"r[51]",0.59,0.0054,0.32,0.18,0.54,1.2,3440,0.032,1.0
"r[52]",1.2,0.0063,0.41,0.58,1.1,1.9,4228,0.039,1.00
"r[53]",0.50,0.0043,0.27,0.15,0.45,1.0,4080,0.038,1.0
"r[54]",0.91,0.0058,0.35,0.40,0.88,1.5,3603,0.034,1.0
"r[55]",2.2,0.017,0.93,0.75,2.1,3.8,3058,0.028,1.0
"r[56]",6.7,0.024,1.5,4.5,6.6,9.4,3832,0.036,1.0
"r[57]",2.2,0.016,0.98,0.77,2.1,4.0,3534,0.033,1.0
"r[58]",0.91,0.0086,0.50,0.24,0.83,1.9,3354,0.031,1.00
"r[59]",2.7,0.011,0.76,1.6,2.7,4.1,4700,0.044,1.00
"r[60]",0.53,0.0056,0.33,0.13,0.47,1.2,3374,0.031,1.0
"r[61]",2.7,0.013,0.77,1.5,2.6,4.1,3371,0.031,1.0
"r[62]",2.6,0.012,0.77,1.4,2.6,3.9,3961,0.037,1.00
"r[63]",1.1,0.0049,0.33,0.65,1.1,1.8,4652,0.043,1.00
"r[64]",0.78,0.0046,0.27,0.39,0.75,1.3,3569,0.033,1.0
"r[65]",0.93,0.0055,0.34,0.45,0.90,1.5,3804,0.035,1.0
"r[66]",1.8,0.0075,0.45,1.1,1.7,2.6,3640,0.034,1.00
"r[67]",0.77,0.0048,0.33,0.30,0.74,1.4,4794,0.045,1.00
"r[68]",0.34,0.0038,0.21,0.090,0.29,0.74,3014,0.028,1.0
"r[69]",0.92,0.0045,0.30,0.49,0.89,1.4,4481,0.042,1.0
"r[70]",0.39,0.0031,0.20,0.13,0.35,0.76,4029,0.037,1.00
"r[71]",2.0,0.0071,0.48,1.3,2.0,2.9,4511,0.042,1.0
"r[72]",0.38,0.0029,0.21,0.12,0.34,0.78,5048,0.047,1.00
"r[73]",1.2,0.0071,0.45,0.54,1.2,2.0,4087,0.038,1.0
"r[74]",0.69,0.0060,0.37,0.20,0.62,1.4,3860,0.036,1.0
"r[75]",5.3,0.017,1.1,3.8,5.3,7.2,4048,0.038,1.0
"r[76]",0.85,0.0082,0.51,0.20,0.75,1.8,3864,0.036,1.0
"r[77]",0.91,0.0058,0.35,0.40,0.86,1.5,3625,0.034,1.0
"r[78]",1.7,0.0076,0.48,1.00,1.7,2.5,3939,0.037,1.0
"r[79]",0.94,0.0067,0.41,0.36,0.88,1.7,3618,0.034,1.0
"r[80]",4.9,0.015,0.95,3.5,4.9,6.6,3794,0.035,1.0
"r[81]",0.86,0.0084,0.42,0.30,0.81,1.6,2527,0.024,1.0
"r[82]",1.3,0.0066,0.46,0.65,1.3,2.1,4754,0.044,1.0
"r[83]",14,0.12,4.8,8.9,13,20,1732,0.016,1.0
"r[84]",5.5,0.046,1.7,2.3,5.6,8.2,1393,0.013,1.0
"r[85]",0.87,0.0042,0.30,0.44,0.84,1.4,5044,0.047,1.0
"r[86]",0.34,0.0026,0.18,0.10,0.30,0.69,5040,0.047,1.0
"r[87]",1.0,0.0093,0.56,0.26,0.93,2.0,3588,0.033,1.00
"r[88]",1.5,0.042,1.3,0.23,1.2,4.3,957,0.0089,1.0
"r[89]",1.9,0.012,0.72,0.81,1.8,3.1,3515,0.033,1.00
"r[90]",0.46,0.0044,0.29,0.11,0.40,1.0,4214,0.039,1.0
"r[91]",2.8,0.011,0.73,1.7,2.7,4.0,4330,0.040,1.00
