name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13124.6,0.282999,11.9053,-13144.6,-13124.3,-13105.6,1769.74,0.0165245,1.0027
"accept_stat__",0.883655,0.0208449,0.164505,0.544978,0.938783,0.997827,62.2813,0.000581535,1.02366
"stepsize__",0.1465,0.0119647,0.0146647,0.132059,0.140831,0.166609,1.50225,1.40269e-05,1.22527e+13
"treedepth__",4.6645,0.0230737,0.826471,3,5,5,1282.98,0.0119795,1.00029
"n_leapfrog__",28.1922,0.192756,6.9262,10,31,31,1291.15,0.0120557,1.00045
"divergent__",0.186667,0.00894073,0.389676,0,0,1,1899.6,0.017737,1.00086
"energy__",13253.5,0.397589,16.5698,13227.4,13253.1,13281.5,1736.85,0.0162174,1.00379
"r[1]",2.0,0.0069,0.56,1.2,1.9,3.0,6596,0.062,1.00
"r[2]",2.1,0.0073,0.58,1.2,2.0,3.1,6228,0.058,1.00
"r[3]",0.41,0.0031,0.24,0.11,0.36,0.85,6104,0.057,1.00
"r[4]",1.4,0.0049,0.40,0.78,1.3,2.1,6709,0.063,1.00
"r[5]",3.4,0.010,0.83,2.1,3.3,4.8,6796,0.063,1.00
"r[6]",0.91,0.0062,0.52,0.23,0.83,1.9,7052,0.066,1.00
"r[7]",1.6,0.0060,0.49,0.85,1.5,2.5,6719,0.063,1.0
"r[8]",1.2,0.0058,0.44,0.56,1.2,2.0,5920,0.055,1.00
"r[9]",0.32,0.0023,0.19,0.089,0.28,0.66,6508,0.061,1.0
"r[10]",1.2,0.0042,0.35,0.68,1.1,1.8,7026,0.066,1.00
"r[11]",2.2,0.010,0.74,1.1,2.2,3.6,5490,0.051,1.00
"r[12]",1.9,0.010,0.73,0.79,1.8,3.2,5171,0.048,1.00
"r[13]",2.1,0.013,0.96,0.67,2.0,3.8,5250,0.049,1.0
"r[14]",1.6,0.014,0.90,0.37,1.5,3.3,4267,0.040,1.00
"r[15]",6.7,0.023,1.6,4.4,6.5,9.6,4633,0.043,1.00
"r[16]",3.7,0.018,1.2,1.8,3.6,5.8,4513,0.042,1.0
"r[17]",0.69,0.0031,0.24,0.34,0.66,1.1,6354,0.059,1.00
"r[18]",0.26,0.0017,0.15,0.082,0.24,0.54,7229,0.068,1.00
"r[19]",1.1,0.0061,0.48,0.38,1.0,1.9,6299,0.059,1.00
"r[20]",3.3,0.020,1.3,1.5,3.2,5.5,3884,0.036,1.0
"r[21]",1.6,0.0046,0.41,0.97,1.5,2.3,7838,0.073,1.00
"r[22]",0.25,0.0019,0.16,0.070,0.22,0.55,7032,0.066,1.00
"r[23]",1.4,0.0069,0.52,0.64,1.4,2.3,5750,0.054,1.0
"r[24]",2.6,0.0087,0.67,1.6,2.6,3.8,5957,0.056,1.0
"r[25]",2.5,0.010,0.80,1.3,2.4,3.9,6288,0.059,1.00
"r[26]",3.2,0.0097,0.77,2.0,3.1,4.5,6384,0.060,1.00
"r[27]",1.5,0.0080,0.61,0.58,1.4,2.6,5909,0.055,1.0
"r[28]",0.70,0.0060,0.43,0.18,0.61,1.5,5235,0.049,1.0
"r[29]",0.55,0.0045,0.37,0.12,0.46,1.3,6609,0.062,1.0
"r[30]",6.5,0.019,1.5,4.3,6.4,9.3,6602,0.062,1.00
"r[31]",0.81,0.0030,0.27,0.43,0.78,1.3,8147,0.076,1.0
"r[32]",0.19,0.0013,0.11,0.054,0.16,0.40,7547,0.070,1.00
"r[33]",0.47,0.0029,0.24,0.16,0.43,0.91,6557,0.061,1.00
"r[34]",1.2,0.0044,0.36,0.68,1.2,1.9,6866,0.064,1.0
"r[35]",2.9,0.0076,0.63,1.9,2.8,4.0,6955,0.065,1.0
"r[36]",0.42,0.0026,0.22,0.14,0.38,0.84,7027,0.066,1.0
"r[37]",1.2,0.0040,0.34,0.74,1.2,1.8,7262,0.068,1.00
"r[38]",0.30,0.0019,0.15,0.11,0.28,0.59,6520,0.061,1.0
"r[39]",0.62,0.0028,0.23,0.29,0.59,1.0,6779,0.063,1.00
