name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13535.4,0.256094,11.5858,-13554.5,-13535.1,-13516.8,2046.68,0.0227846,1.00104
"accept_stat__",0.853803,0.00319789,0.154085,0.600706,0.892376,0.993697,2321.63,0.0258454,1.00063
"stepsize__",0.188299,3.62946e-05,0.00198794,0.185924,0.188185,0.190789,3000,0.0333973,1.82095e+12
"treedepth__",4.10533,0.0249112,1.14969,2,4,5,2129.97,0.0237118,1.00169
"n_leapfrog__",23.6162,0.204183,9.75139,4,31,31,2280.83,0.0253912,1.00157
"divergent__",0.451,0.00778699,0.497635,0,0,1,4083.97,0.0454645,0.999976
"energy__",13664.5,0.350672,16.0805,13638.8,13664,13691.3,2102.8,0.0234093,1.00099
"r[1]",2.1,0.0073,0.53,1.3,2.1,3.1,5169,0.058,1.00
"r[2]",0.93,0.0054,0.37,0.41,0.89,1.6,4537,0.051,1.00
"r[3]",1.5,0.0075,0.48,0.82,1.5,2.4,4155,0.046,1.0
"r[4]",3.0,0.0094,0.67,2.0,2.9,4.2,4996,0.056,1.0
"r[5]",1.2,0.0063,0.45,0.58,1.2,2.0,5076,0.057,1.0
"r[6]",2.7,0.0092,0.67,1.8,2.7,3.9,5306,0.059,1.0
"r[7]",0.64,0.0029,0.21,0.34,0.61,1.0,5077,0.057,1.00
"r[8]",0.36,0.0026,0.17,0.13,0.33,0.67,4324,0.048,1.0
"r[9]",0.33,0.0022,0.16,0.11,0.30,0.63,5317,0.059,1.0
"r[10]",1.1,0.0051,0.32,0.62,1.0,1.7,3937,0.044,1.0
"r[11]",1.3,0.0051,0.35,0.77,1.3,1.9,4786,0.053,1.00
"r[12]",0.93,0.0044,0.31,0.48,0.90,1.5,4719,0.053,1.0
"r[13]",0.97,0.0046,0.32,0.50,0.94,1.6,4872,0.054,1.00
"r[14]",0.32,0.0026,0.19,0.090,0.28,0.66,5100,0.057,1.00
"r[15]",12,0.038,2.3,8.6,12,16,3642,0.041,1.00
"r[16]",0.83,0.0080,0.49,0.19,0.75,1.7,3766,0.042,1.00
"r[17]",2.5,0.0092,0.60,1.6,2.5,3.6,4245,0.047,1.0
"r[18]",1.9,0.0070,0.51,1.1,1.8,2.8,5257,0.059,1.0
"r[19]",0.44,0.0037,0.25,0.12,0.39,0.92,4779,0.053,1.0
"r[20]",1.2,0.0087,0.55,0.39,1.2,2.2,3971,0.044,1.0
"r[21]",2.2,0.0074,0.53,1.4,2.2,3.2,5109,0.057,1.0
"r[22]",0.58,0.0045,0.32,0.15,0.53,1.2,5137,0.057,1.00
"r[23]",0.42,0.0030,0.22,0.13,0.38,0.84,5394,0.060,1.00
"r[24]",1.3,0.0051,0.33,0.80,1.2,1.9,4132,0.046,1.0
"r[25]",2.5,0.0098,0.70,1.5,2.5,3.8,5192,0.058,1.00
"r[26]",3.7,0.012,0.87,2.4,3.6,5.2,4952,0.055,1.00
"r[27]",0.89,0.0070,0.48,0.26,0.82,1.8,4568,0.051,1.00
"r[28]",0.85,0.0064,0.44,0.26,0.79,1.7,4650,0.052,1.00
"r[29]",4.1,0.013,0.92,2.7,4.0,5.7,5315,0.059,1.00
"r[30]",0.40,0.0034,0.24,0.10,0.34,0.87,4992,0.056,1.0
"r[31]",0.56,0.0028,0.20,0.28,0.54,0.92,4956,0.055,1.0
"r[32]",0.28,0.0020,0.14,0.096,0.25,0.53,4704,0.052,1.0
