name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13455.8,0.255481,11.7344,-13475.8,-13455.6,-13436.9,2109.63,0.0176301,1.00006
"accept_stat__",0.903251,0.00800893,0.0987739,0.710319,0.932347,0.997306,152.102,0.00127111,1.01349
"stepsize__",0.176949,0.00987621,0.0121049,0.159988,0.183432,0.187428,1.50225,1.25543e-05,1.17595e+13
"treedepth__",4.97367,0.00306274,0.187916,5,5,5,3764.51,0.0314598,1.00597
"n_leapfrog__",30.759,0.0327661,2.08574,31,31,31,4052.02,0.0338626,1.00614
"divergent__",0.0055,0.00115057,0.0739639,0,0,0,4132.51,0.0345352,1.00011
"energy__",13584.7,0.356884,16.1413,13558.7,13584.5,13611.6,2045.61,0.0170951,0.999973
"r[1]",7.0,0.0095,1.2,5.2,6.9,9.2,16138,0.13,1.00
"r[2]",0.28,0.0015,0.16,0.082,0.25,0.58,11523,0.096,1.00
"r[3]",0.96,0.0025,0.28,0.57,0.92,1.5,12376,0.10,1.00
"r[4]",0.77,0.0023,0.26,0.40,0.73,1.2,13370,0.11,1.00
"r[5]",0.34,0.0016,0.18,0.11,0.31,0.67,12285,0.10,1.00
"r[6]",0.40,0.0018,0.19,0.14,0.37,0.76,12261,0.10,1.00
"r[7]",1.4,0.0066,0.58,0.53,1.4,2.5,7683,0.064,1.00
"r[8]",15,0.038,3.6,11,15,22,8808,0.074,1.00
"r[9]",2.2,0.0051,0.55,1.4,2.1,3.2,11387,0.095,1.00
"r[10]",5.0,0.0078,0.93,3.6,5.0,6.6,13965,0.12,1.00
"r[11]",0.56,0.0033,0.32,0.15,0.50,1.2,9034,0.075,1.00
"r[12]",1.0,0.0063,0.57,0.23,0.95,2.1,8189,0.068,1.0
"r[13]",0.32,0.0018,0.19,0.088,0.28,0.67,10330,0.086,1.00
"r[14]",0.51,0.0018,0.21,0.22,0.48,0.90,12792,0.11,1.00
"r[15]",3.7,0.0077,0.86,2.4,3.6,5.2,12707,0.11,1.00
"r[16]",8.4,0.014,1.7,6.0,8.2,11,13035,0.11,1.00
"r[17]",5.0,0.0082,0.97,3.5,4.9,6.7,14179,0.12,1.00
"r[18]",1.5,0.0038,0.42,0.93,1.5,2.3,12399,0.10,1.00
"r[19]",0.45,0.0028,0.30,0.10,0.38,1.0,10987,0.092,1.00
"r[20]",0.51,0.0040,0.35,0.12,0.43,1.2,7871,0.066,1.00
"r[21]",0.68,0.0040,0.40,0.18,0.60,1.5,10131,0.085,1.00
"r[22]",8.6,0.015,1.6,6.2,8.5,12,11529,0.096,1.00
"r[23]",0.55,0.0029,0.27,0.17,0.52,1.0,8848,0.074,1.00
"r[24]",0.98,0.0034,0.30,0.52,0.97,1.5,8047,0.067,1.0
"r[25]",1.3,0.0080,0.72,0.26,1.2,2.6,8189,0.068,1.00
"r[26]",1.2,0.0082,0.72,0.25,1.1,2.5,7755,0.065,1.0
"r[27]",17,0.083,5.4,11,16,26,4292,0.036,1.0
"r[28]",2.9,0.014,1.1,0.98,2.9,4.8,6586,0.055,1.00
"r[29]",1.2,0.013,0.95,0.20,0.99,3.2,5514,0.046,1.00
"r[30]",0.44,0.0022,0.23,0.14,0.40,0.88,11591,0.097,1.00
"r[31]",1.1,0.0030,0.34,0.66,1.1,1.7,12362,0.10,1.00
"r[32]",0.30,0.0014,0.15,0.10,0.28,0.59,12027,0.10,1.00
"r[33]",0.62,0.0023,0.25,0.26,0.58,1.1,12387,0.10,1.00
"r[34]",1.6,0.0034,0.41,1.0,1.6,2.4,14323,0.12,1.00
"r[35]",0.69,0.0027,0.28,0.29,0.65,1.2,10765,0.090,1.00
"r[36]",0.41,0.0018,0.21,0.14,0.37,0.80,12588,0.11,1.00
"r[37]",1.0,0.0038,0.38,0.43,0.97,1.7,9975,0.083,1.00
"r[38]",3.1,0.0059,0.68,2.1,3.1,4.4,13203,0.11,1.00
"r[39]",0.71,0.0041,0.39,0.19,0.66,1.4,8839,0.074,1.00
"r[40]",7.6,0.012,1.4,5.6,7.5,10,14250,0.12,1.00
"r[41]",1.0,0.0050,0.44,0.33,0.97,1.8,7933,0.066,1.00
"r[42]",0.59,0.0032,0.33,0.15,0.53,1.2,10642,0.089,1.00
"r[43]",2.4,0.0088,0.83,1.2,2.4,3.9,8714,0.073,1.00
"r[44]",1.2,0.0069,0.63,0.31,1.1,2.3,8352,0.070,1.0
"r[45]",15,0.039,3.6,11,15,22,8436,0.071,1.00
"r[46]",2.5,0.015,1.2,0.58,2.5,4.6,7085,0.059,1.00
"r[47]",0.59,0.0020,0.23,0.27,0.56,1.0,13010,0.11,1.00
"r[48]",0.88,0.0024,0.27,0.49,0.85,1.4,12652,0.11,1.00
"r[49]",0.78,0.0028,0.31,0.35,0.74,1.3,11911,0.100,1.00
"r[50]",1.9,0.013,1.1,0.33,1.7,3.9,7342,0.061,1.00
"r[51]",1.2,0.0029,0.34,0.74,1.2,1.9,13660,0.11,1.00
"r[52]",0.25,0.0012,0.13,0.080,0.23,0.49,11630,0.097,1.00
"r[53]",1.3,0.0030,0.35,0.76,1.2,1.9,13985,0.12,1.00
"r[54]",0.74,0.0023,0.25,0.38,0.71,1.2,12175,0.10,1.0
"r[55]",0.42,0.0019,0.21,0.14,0.39,0.80,12424,0.10,1.00
"r[56]",0.30,0.0015,0.16,0.099,0.27,0.61,11620,0.097,1.0
"r[57]",1.7,0.0041,0.45,1.0,1.6,2.4,11941,0.100,1.00
"r[58]",0.29,0.0018,0.18,0.080,0.26,0.63,10031,0.084,1.00
"r[59]",0.57,0.0026,0.29,0.18,0.53,1.1,11992,0.10,1.0
"r[60]",6.7,0.012,1.3,4.8,6.6,9.1,12396,0.10,1.00
"r[61]",0.35,0.0020,0.21,0.095,0.31,0.75,10778,0.090,1.00
"r[62]",0.47,0.0023,0.25,0.14,0.43,0.94,12300,0.10,1.00
"r[63]",0.50,0.0026,0.27,0.14,0.45,1.0,10746,0.090,1.00
"r[64]",2.3,0.0049,0.56,1.5,2.3,3.3,13046,0.11,1.00
"r[65]",1.1,0.0033,0.34,0.65,1.1,1.8,10398,0.087,1.00
"r[66]",1.1,0.0032,0.37,0.60,1.1,1.8,13404,0.11,1.00
"r[67]",0.81,0.0046,0.44,0.22,0.74,1.6,9110,0.076,1.00
"r[68]",3.1,0.0069,0.76,1.9,3.0,4.4,12188,0.10,1.00
"r[69]",0.25,0.0014,0.14,0.070,0.22,0.52,11271,0.094,1.00
"r[70]",5.0,0.0076,0.88,3.7,4.9,6.5,13299,0.11,1.00
"r[71]",1.9,0.0047,0.52,1.2,1.9,2.9,11922,0.100,1.00
"r[72]",2.9,0.0055,0.64,2.0,2.9,4.1,13295,0.11,1.0
"r[73]",0.85,0.0036,0.38,0.32,0.81,1.6,10933,0.091,1.0
"r[74]",0.27,0.0014,0.16,0.076,0.24,0.56,12109,0.10,1.00
"r[75]",0.85,0.0033,0.35,0.36,0.81,1.5,11095,0.093,1.00
"r[76]",3.8,0.0068,0.82,2.5,3.7,5.2,14524,0.12,1.00
"r[77]",2.0,0.0043,0.49,1.2,1.9,2.8,13242,0.11,1.00
"r[78]",1.3,0.0038,0.42,0.68,1.2,2.0,12069,0.10,1.00
"r[79]",0.90,0.0058,0.52,0.22,0.82,1.9,7977,0.067,1.00
"r[80]",2.8,0.0078,0.75,1.7,2.8,4.1,9291,0.078,1.00
"r[81]",7.1,0.012,1.4,5.0,7.0,9.7,13330,0.11,1.0
"r[82]",0.61,0.0043,0.39,0.15,0.52,1.4,8541,0.071,1.00
"r[83]",0.69,0.0036,0.31,0.24,0.66,1.3,7679,0.064,1.00
"r[84]",0.68,0.0036,0.31,0.23,0.67,1.2,7235,0.060,1.00
"r[85]",0.41,0.0020,0.22,0.13,0.38,0.82,12180,0.10,1.00
"r[86]",3.0,0.0053,0.62,2.0,2.9,4.1,13597,0.11,1.00
"r[87]",0.63,0.0038,0.36,0.16,0.56,1.3,8992,0.075,1.0
"r[88]",5.1,0.0082,1.0,3.6,5.0,6.9,14834,0.12,1.00
"r[89]",1.2,0.0046,0.46,0.49,1.1,2.0,10131,0.085,1.00
"r[90]",1.8,0.0064,0.61,0.91,1.8,2.9,9098,0.076,1.00
"r[91]",0.35,0.0019,0.21,0.093,0.31,0.75,12824,0.11,1.00
"r[92]",0.48,0.0027,0.28,0.13,0.42,1.0,10698,0.089,1.00
"r[93]",1.5,0.0036,0.43,0.92,1.5,2.3,14286,0.12,1.00
"r[94]",0.81,0.0026,0.31,0.36,0.77,1.4,13919,0.12,1.00
"r[95]",2.3,0.0051,0.56,1.5,2.3,3.3,12017,0.10,1.00
"r[96]",2.5,0.0055,0.62,1.6,2.4,3.6,12915,0.11,1.00
"r[97]",0.64,0.0030,0.34,0.19,0.59,1.3,12474,0.10,1.00
"r[98]",0.55,0.0027,0.30,0.16,0.50,1.1,11847,0.099,1.00
"r[99]",2.0,0.0039,0.47,1.3,2.0,2.8,14807,0.12,1.00
"r[100]",0.29,0.0015,0.17,0.078,0.25,0.61,11937,0.100,1.00
"r[101]",2.0,0.0049,0.53,1.2,2.0,3.0,12110,0.10,1.00
"r[102]",1.2,0.0042,0.45,0.54,1.2,2.0,11537,0.096,1.0
"r[103]",2.1,0.0062,0.65,1.1,2.1,3.2,10855,0.091,1.0
"r[104]",0.76,0.0039,0.38,0.24,0.71,1.5,9779,0.082,1.00
"r[105]",0.67,0.0043,0.43,0.16,0.58,1.5,10006,0.084,1.00
"r[106]",3.5,0.0079,0.87,2.2,3.4,5.0,11938,0.100,1.00
"r[107]",2.1,0.0043,0.51,1.4,2.1,3.0,14254,0.12,1.00
