name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13045.2,0.270075,11.606,-13064.7,-13044.9,-13026.5,1846.69,0.0125269,1.00149
"accept_stat__",0.887938,0.0175844,0.183221,0.472212,0.956097,0.998863,108.567,0.000736459,1.03151
"stepsize__",0.0960073,0.0126782,0.0155392,0.0756684,0.0989735,0.11338,1.50225,1.01905e-05,2.41729e+13
"treedepth__",4.92467,0.357969,1.0264,3,5,6,8.22135,5.57692e-05,1.10634
"n_leapfrog__",38.3395,10.3965,17.4392,10,31,63,2.81368,1.90865e-05,1.41529
"divergent__",0.239667,0.0129938,0.426916,0,0,1,1079.48,0.00732261,1.00355
"energy__",13174.3,0.379639,16.268,13148.2,13173.6,13201.7,1836.23,0.012456,1.00188
"r[1]",0.29,0.0024,0.17,0.081,0.26,0.64,5358,0.036,1.00
"r[2]",3.5,0.010,0.69,2.5,3.5,4.8,4763,0.032,1.0
"r[3]",4.4,0.013,0.92,3.0,4.3,6.0,5007,0.034,1.0
"r[4]",1.9,0.0096,0.65,0.99,1.9,3.1,4500,0.031,1.0
"r[5]",2.1,0.011,0.66,1.1,2.0,3.2,3850,0.026,1.0
"r[6]",0.27,0.0027,0.17,0.068,0.23,0.59,4034,0.027,1.0
"r[7]",0.71,0.0045,0.29,0.29,0.68,1.3,4195,0.028,1.0
"r[8]",0.76,0.0047,0.30,0.33,0.72,1.3,4265,0.029,1.00
"r[9]",0.90,0.0060,0.34,0.39,0.86,1.5,3320,0.023,1.0
"r[10]",0.69,0.0054,0.31,0.24,0.65,1.3,3383,0.023,1.0
"r[11]",3.6,0.014,0.84,2.4,3.6,5.2,3712,0.025,1.00
"r[12]",2.7,0.011,0.68,1.6,2.6,3.9,3575,0.024,1.0
"r[13]",0.52,0.0053,0.33,0.14,0.45,1.1,3865,0.026,1.0
"r[14]",2.2,0.011,0.60,1.3,2.1,3.2,3248,0.022,1.00
"r[15]",0.88,0.0046,0.29,0.46,0.84,1.4,3976,0.027,1.00
