name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13562.1,0.244739,11.6094,-13582,-13561.6,-13543.6,2250.14,0.0237964,1.00056
"accept_stat__",0.887387,0.0305521,0.113817,0.663803,0.922518,0.998404,13.8782,0.000146769,1.05782
"stepsize__",0.21019,0.02107,0.0258247,0.188464,0.195632,0.246473,1.50225,1.58871e-05,2.08575e+13
"treedepth__",4.49367,0.326459,0.514137,4,4,5,2.48029,2.62303e-05,1.51486
"n_leapfrog__",23.9572,5.58835,8.12828,15,31,31,2.11558,2.23734e-05,1.74857
"divergent__",0.00783333,0.00131679,0.0881661,0,0,0,4482.99,0.0474099,1.00152
"energy__",13691.1,0.344969,16.1516,13664.9,13691,13718,2192.15,0.0231831,1.00067
"r[1]",0.34,0.0018,0.18,0.11,0.31,0.67,9288,0.098,1.00
"r[2]",1.4,0.0042,0.40,0.81,1.3,2.1,8973,0.095,1.00
"r[3]",3.9,0.0087,0.83,2.7,3.9,5.4,9017,0.095,1.00
"r[4]",1.0,0.0047,0.42,0.42,1.00,1.8,8073,0.085,1.0
"r[5]",1.5,0.0064,0.58,0.62,1.4,2.5,8135,0.086,1.00
"r[6]",1.8,0.0057,0.56,0.95,1.7,2.8,9574,0.10,1.00
"r[7]",1.0,0.0038,0.35,0.51,0.96,1.7,8746,0.092,1.00
"r[8]",3.3,0.0068,0.69,2.3,3.2,4.5,10439,0.11,1.00
"r[9]",0.34,0.0020,0.20,0.093,0.30,0.72,9401,0.099,1.00
"r[10]",6.5,0.011,1.1,4.9,6.4,8.4,10241,0.11,1.00
"r[11]",0.62,0.0030,0.29,0.22,0.58,1.2,9221,0.098,1.00
"r[12]",0.32,0.0019,0.19,0.085,0.28,0.68,10391,0.11,1.00
"r[13]",1.6,0.0072,0.64,0.65,1.5,2.7,7911,0.084,1.00
"r[14]",0.99,0.0069,0.57,0.26,0.89,2.0,6641,0.070,1.0
"r[15]",2.9,0.0076,0.73,1.8,2.8,4.1,9350,0.099,1.00
"r[16]",2.9,0.0074,0.75,1.8,2.8,4.2,10273,0.11,1.00
"r[17]",2.4,0.0079,0.69,1.4,2.3,3.6,7672,0.081,1.00
"r[18]",1.5,0.0068,0.59,0.63,1.4,2.6,7421,0.078,1.00
"r[19]",3.4,0.0096,0.86,2.1,3.3,4.9,8009,0.085,1.00
"r[20]",1.2,0.0064,0.56,0.46,1.2,2.3,7476,0.079,1.00
"r[21]",1.9,0.0081,0.69,0.87,1.9,3.1,7209,0.076,1.00
"r[22]",4.9,0.011,1.0,3.3,4.8,6.7,9127,0.097,1.00
"r[23]",2.2,0.0047,0.46,1.5,2.2,3.0,9638,0.10,1.00
"r[24]",0.52,0.0027,0.25,0.18,0.48,0.99,8748,0.093,1.00
"r[25]",0.77,0.0036,0.35,0.29,0.72,1.4,9402,0.099,1.00
"r[26]",2.2,0.0084,0.74,1.1,2.2,3.6,7801,0.083,1.00
"r[27]",0.40,0.0026,0.25,0.10,0.35,0.88,9057,0.096,1.00
"r[28]",0.81,0.0050,0.44,0.23,0.75,1.7,7931,0.084,1.00
"r[29]",1.2,0.0074,0.65,0.33,1.1,2.4,7662,0.081,1.00
"r[30]",5.5,0.013,1.3,3.5,5.4,7.8,10296,0.11,1.0
"r[31]",1.2,0.0039,0.38,0.68,1.2,1.9,9304,0.098,1.0
"r[32]",0.83,0.0030,0.30,0.41,0.79,1.4,9894,0.10,1.00
"r[33]",0.40,0.0020,0.18,0.16,0.38,0.74,8430,0.089,1.0
"r[34]",0.55,0.0023,0.21,0.26,0.52,0.93,8261,0.087,1.00
"r[35]",1.8,0.0045,0.46,1.1,1.7,2.6,10032,0.11,1.00
"r[36]",0.32,0.0019,0.18,0.095,0.29,0.67,9500,0.10,1.00
"r[37]",0.86,0.0028,0.27,0.47,0.84,1.3,9321,0.099,1.00
"r[38]",0.55,0.0027,0.23,0.23,0.51,0.96,7035,0.074,1.00
"r[39]",1.2,0.0048,0.43,0.56,1.2,2.0,8073,0.085,1.0
"r[40]",3.0,0.0070,0.68,2.0,2.9,4.2,9267,0.098,1.0
"r[41]",1.6,0.0056,0.52,0.86,1.6,2.6,8435,0.089,1.00
"r[42]",0.53,0.0029,0.27,0.17,0.48,1.0,8164,0.086,1.00
"r[43]",0.39,0.0023,0.23,0.10,0.35,0.82,9444,0.100,1.00
"r[44]",1.8,0.0051,0.50,1.0,1.7,2.7,9648,0.10,1.00
"r[45]",0.37,0.0019,0.18,0.14,0.34,0.69,8491,0.090,1.00
"r[46]",0.66,0.0024,0.23,0.34,0.63,1.1,8879,0.094,1.00
"r[47]",0.58,0.0026,0.26,0.22,0.55,1.1,10324,0.11,1.00
"r[48]",1.6,0.0038,0.39,1.1,1.6,2.3,10213,0.11,1.00
"r[49]",0.64,0.0032,0.30,0.23,0.60,1.2,8548,0.090,1.00
"r[50]",1.4,0.0046,0.44,0.80,1.4,2.2,9084,0.096,1.00
"r[51]",6.6,0.012,1.2,4.7,6.5,8.7,10022,0.11,1.00
"r[52]",1.6,0.0087,0.71,0.52,1.5,2.8,6741,0.071,1.00
"r[53]",0.76,0.0031,0.30,0.32,0.73,1.3,9285,0.098,1.00
"r[54]",1.3,0.0040,0.39,0.73,1.3,2.0,9448,0.100,1.00
"r[55]",0.95,0.0046,0.42,0.36,0.89,1.7,8070,0.085,1.00
"r[56]",1.7,0.0093,0.76,0.52,1.6,3.0,6580,0.070,1.00
"r[57]",1.3,0.0050,0.47,0.64,1.3,2.2,9104,0.096,1.00
"r[58]",1.1,0.0051,0.47,0.44,1.0,1.9,8335,0.088,1.0
"r[59]",1.3,0.0058,0.53,0.55,1.2,2.3,8386,0.089,1.0
