name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12607.6,0.240223,11.4842,-12626.7,-12607.2,-12589.2,2285.44,0.0340733,1.00031
"accept_stat__",0.868378,0.00358312,0.146173,0.62111,0.908578,0.997838,1664.23,0.0248118,1.00734
"stepsize__",0.212062,0.0096542,0.0118328,0.20174,0.205817,0.228628,1.50225,2.23969e-05,7.90079e+12
"treedepth__",3.79417,0.0285657,0.790719,2,4,5,766.223,0.0114235,1.01196
"n_leapfrog__",16.5,2.24508,6.99958,5,15,31,9.72034,0.000144919,1.08774
"divergent__",0.203,0.00749311,0.402266,0,0,1,2882.05,0.0429681,1.00277
"energy__",12736.6,0.345238,16.3051,12710.2,12736.3,12763.8,2230.54,0.0332549,1.0009
"r[1]",0.29,0.0022,0.15,0.10,0.26,0.57,4506,0.067,1.0
"r[2]",1.3,0.0051,0.35,0.83,1.3,2.0,4855,0.072,1.0
"r[3]",0.62,0.0033,0.23,0.30,0.59,1.0,4948,0.074,1.0
"r[4]",0.75,0.0036,0.25,0.39,0.71,1.2,4954,0.074,1.0
"r[5]",0.30,0.0021,0.15,0.10,0.27,0.58,5539,0.083,1.00
"r[6]",0.24,0.0020,0.14,0.072,0.21,0.51,4934,0.074,1.0
"r[7]",2.5,0.0079,0.58,1.6,2.4,3.5,5287,0.079,1.00
"r[8]",1.0,0.0053,0.38,0.47,0.97,1.7,5039,0.075,1.00
"r[9]",1.00,0.0053,0.37,0.47,0.95,1.7,4785,0.071,1.00
"r[10]",1.9,0.0072,0.49,1.2,1.9,2.8,4584,0.068,1.00
"r[11]",1.9,0.0076,0.50,1.1,1.8,2.8,4280,0.064,1.00
"r[12]",1.7,0.0070,0.50,1.0,1.7,2.6,5117,0.076,1.0
"r[13]",0.27,0.0024,0.16,0.076,0.24,0.59,4749,0.071,1.0
"r[14]",0.26,0.0022,0.15,0.074,0.23,0.56,4977,0.074,1.0
"r[15]",0.41,0.0028,0.21,0.14,0.37,0.79,5515,0.082,1.00
"r[16]",3.6,0.0098,0.70,2.6,3.6,4.9,5134,0.077,1.0
"r[17]",1.6,0.0068,0.49,0.89,1.6,2.5,5111,0.076,1.0
"r[18]",2.4,0.0083,0.61,1.5,2.4,3.5,5440,0.081,1.0
"r[19]",1.6,0.0078,0.53,0.86,1.6,2.6,4618,0.069,1.00
"r[20]",0.64,0.0044,0.32,0.22,0.59,1.2,5264,0.078,1.00
"r[21]",1.2,0.0052,0.37,0.69,1.2,1.9,5123,0.076,1.00
"r[22]",0.56,0.0035,0.26,0.21,0.52,1.0,5382,0.080,1.0
"r[23]",0.66,0.0034,0.24,0.32,0.63,1.1,5062,0.075,1.0
"r[24]",0.95,0.0041,0.29,0.54,0.92,1.5,5016,0.075,1.0
"r[25]",0.32,0.0024,0.18,0.096,0.29,0.67,5535,0.083,1.0
"r[26]",2.5,0.0083,0.57,1.6,2.4,3.5,4720,0.070,1.00
"r[27]",0.38,0.0037,0.24,0.098,0.33,0.85,4024,0.060,1.00
"r[28]",1.7,0.0078,0.53,0.95,1.7,2.7,4515,0.067,1.0
"r[29]",3.1,0.0098,0.72,2.1,3.1,4.4,5361,0.080,1.0
"r[30]",1.6,0.0076,0.51,0.89,1.6,2.5,4442,0.066,1.00
"r[31]",0.99,0.0051,0.36,0.48,0.96,1.6,4908,0.073,1.0
"r[32]",1.6,0.0073,0.44,0.91,1.5,2.4,3742,0.056,1.0
"r[33]",1.1,0.0051,0.33,0.66,1.1,1.7,4183,0.062,1.0
"r[34]",0.40,0.0029,0.20,0.14,0.37,0.79,4973,0.074,1.00
"r[35]",1.00,0.0052,0.36,0.49,0.95,1.6,4794,0.071,1.0
"r[36]",2.5,0.0095,0.63,1.6,2.5,3.7,4432,0.066,1.00
"r[37]",7.2,0.018,1.2,5.4,7.1,9.5,4962,0.074,1.0
"r[38]",0.53,0.0043,0.29,0.15,0.47,1.1,4604,0.069,1.0
"r[39]",0.36,0.0025,0.18,0.13,0.33,0.69,4855,0.072,1.0
"r[40]",0.73,0.0035,0.26,0.37,0.70,1.2,5612,0.084,1.0
"r[41]",0.64,0.0040,0.28,0.25,0.60,1.2,4936,0.074,1.0
"r[42]",0.92,0.0059,0.39,0.35,0.88,1.6,4507,0.067,1.0
"r[43]",1.0,0.0061,0.38,0.49,1.00,1.7,3894,0.058,1.00
"r[44]",0.49,0.0038,0.27,0.15,0.44,0.99,4934,0.074,1.0
"r[45]",4.6,0.012,0.84,3.4,4.6,6.1,4547,0.068,1.0
"r[46]",0.46,0.0040,0.28,0.11,0.41,0.99,4992,0.074,1.00
