name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13187.7,0.259652,11.6559,-13207.4,-13187.2,-13169,2015.16,0.0212675,1.00507
"accept_stat__",0.857473,0.0166643,0.167486,0.536621,0.90627,0.996522,101.014,0.00106608,1.0216
"stepsize__",0.176234,0.022592,0.0276902,0.137183,0.193266,0.198252,1.50225,1.58544e-05,1.53414e+13
"treedepth__",4.23867,0.0411513,1.09067,2,5,5,702.463,0.00741361,1.01138
"n_leapfrog__",24.4603,0.65641,9.56469,4,31,31,212.321,0.00224078,1.01843
"divergent__",0.304667,0.0109024,0.460304,0,0,1,1782.56,0.0188126,1.00136
"energy__",13316.5,0.367578,16.3754,13290.3,13316.3,13344.1,1984.66,0.0209456,1.00384
"r[1]",1.2,0.0058,0.38,0.67,1.2,1.9,4326,0.046,1.0
"r[2]",0.56,0.0039,0.26,0.21,0.53,1.1,4342,0.046,1.0
"r[3]",1.5,0.0061,0.46,0.81,1.5,2.3,5778,0.061,1.0
"r[4]",1.8,0.0071,0.49,1.0,1.7,2.6,4854,0.051,1.00
"r[5]",2.3,0.0098,0.67,1.3,2.2,3.5,4673,0.049,1.00
"r[6]",2.0,0.0084,0.60,1.1,2.0,3.1,5098,0.054,1.0
"r[7]",2.2,0.013,0.87,0.91,2.2,3.8,4596,0.049,1.0
"r[8]",4.5,0.017,1.1,2.9,4.4,6.5,4288,0.045,1.0
"r[9]",0.61,0.0044,0.26,0.24,0.58,1.1,3601,0.038,1.0
"r[10]",0.78,0.0039,0.29,0.36,0.74,1.3,5699,0.060,1.00
"r[11]",1.4,0.0078,0.52,0.69,1.4,2.4,4462,0.047,1.0
"r[12]",3.6,0.017,1.1,2.1,3.5,5.6,4143,0.044,1.00
"r[13]",0.62,0.0065,0.38,0.16,0.55,1.3,3378,0.036,1.00
"r[14]",0.57,0.0047,0.33,0.16,0.50,1.2,4911,0.052,1.0
"r[15]",3.3,0.0099,0.66,2.3,3.2,4.5,4427,0.047,1.00
"r[16]",0.37,0.0032,0.19,0.12,0.34,0.73,3634,0.038,1.0
"r[17]",1.0,0.0046,0.29,0.60,0.98,1.6,3990,0.042,1.0
"r[18]",0.28,0.0021,0.14,0.094,0.25,0.55,4778,0.050,1.0
