name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13294.5,0.349199,11.8395,-13314.5,-13294.1,-13275.7,1149.52,0.0171852,1.0023
"accept_stat__",0.828564,0.0511199,0.204616,0.479356,0.897359,0.995007,16.0213,0.000239515,1.05667
"stepsize__",0.153368,0.0412298,0.0505339,0.101948,0.136102,0.222053,1.50225,2.24584e-05,4.01383e+13
"treedepth__",3.36933,0.333492,1.31322,1,4,5,15.5062,0.000231814,1.06129
"n_leapfrog__",16.7012,4.26185,10.4483,2,15,31,6.01028,8.98526e-05,1.15257
"divergent__",0.686,0.0397154,0.464155,0,1,1,136.586,0.00204194,1.01608
"energy__",13423.4,0.445697,16.5378,13396.4,13423,13450.9,1376.82,0.0205832,1.00177
"r[1]",0.34,0.0051,0.19,0.097,0.31,0.72,1435,0.021,1.0
"r[2]",5.6,0.026,0.93,4.2,5.5,7.2,1274,0.019,1.0
"r[3]",0.45,0.0043,0.18,0.21,0.43,0.78,1762,0.026,1.0
"r[4]",0.35,0.0038,0.16,0.13,0.32,0.65,1741,0.026,1.0
"r[5]",0.23,0.0032,0.14,0.064,0.20,0.49,1840,0.028,1.0
"r[6]",0.63,0.0058,0.24,0.27,0.60,1.1,1704,0.025,1.0
"r[7]",3.6,0.018,0.70,2.5,3.5,4.8,1531,0.023,1.0
"r[8]",0.45,0.0060,0.25,0.13,0.40,0.93,1697,0.025,1.0
"r[9]",0.30,0.0041,0.14,0.11,0.27,0.58,1230,0.018,1.0
"r[10]",0.30,0.0040,0.15,0.11,0.27,0.58,1362,0.020,1.0
"r[11]",0.98,0.0084,0.30,0.54,0.95,1.5,1302,0.019,1.0
"r[12]",1.2,0.011,0.39,0.63,1.2,1.9,1308,0.020,1.00
"r[13]",0.47,0.0062,0.25,0.14,0.43,0.95,1669,0.025,1.0
"r[14]",0.58,0.0075,0.28,0.19,0.53,1.1,1422,0.021,1.0
"r[15]",2.2,0.013,0.49,1.5,2.2,3.1,1500,0.022,1.0
"r[16]",0.68,0.0071,0.27,0.31,0.64,1.2,1453,0.022,1.00
"r[17]",0.70,0.0064,0.25,0.34,0.68,1.1,1520,0.023,1.0
"r[18]",0.80,0.0068,0.27,0.42,0.76,1.3,1544,0.023,1.0
"r[19]",0.44,0.0061,0.22,0.14,0.41,0.85,1320,0.020,1.00
"r[20]",0.77,0.0071,0.29,0.35,0.74,1.3,1692,0.025,1.0
"r[21]",1.4,0.011,0.41,0.81,1.4,2.2,1315,0.020,1.0
"r[22]",1.3,0.0095,0.38,0.77,1.3,2.0,1613,0.024,1.0
"r[23]",1.8,0.012,0.48,1.1,1.7,2.7,1564,0.023,1.0
"r[24]",0.87,0.011,0.37,0.34,0.84,1.6,1094,0.016,1.0
"r[25]",2.7,0.015,0.52,1.9,2.7,3.6,1250,0.019,1.0
"r[26]",0.37,0.0063,0.22,0.10,0.33,0.80,1269,0.019,1.0
"r[27]",1.4,0.011,0.44,0.72,1.3,2.2,1554,0.023,1.00
"r[28]",0.55,0.0071,0.27,0.19,0.51,1.0,1410,0.021,1.0
"r[29]",0.63,0.0093,0.37,0.17,0.55,1.3,1597,0.024,1.0
"r[30]",4.9,0.024,0.94,3.5,4.8,6.6,1470,0.022,1.0
"r[31]",3.4,0.020,0.71,2.3,3.3,4.6,1247,0.019,1.0
"r[32]",0.60,0.0089,0.35,0.15,0.53,1.3,1571,0.023,1.0
"r[33]",3.1,0.021,0.78,1.9,3.0,4.5,1439,0.022,1.0
"r[34]",3.2,0.020,0.79,2.1,3.1,4.6,1534,0.023,1.0
"r[35]",1.4,0.019,0.74,0.37,1.2,2.8,1522,0.023,1.0
"r[36]",4.9,0.028,1.1,3.2,4.8,6.9,1579,0.024,1.0
"r[37]",1.00,0.0089,0.34,0.50,0.96,1.6,1441,0.022,1.0
"r[38]",1.3,0.011,0.38,0.79,1.3,2.0,1258,0.019,1.0
"r[39]",0.60,0.0099,0.33,0.16,0.55,1.2,1101,0.016,1.0
"r[40]",0.69,0.0098,0.33,0.23,0.66,1.3,1119,0.017,1.0
"r[41]",11,0.056,2.2,7.8,11,15,1573,0.024,1.0
"r[42]",0.74,0.011,0.38,0.22,0.68,1.4,1168,0.017,1.0
"r[43]",0.64,0.0094,0.35,0.17,0.59,1.3,1366,0.020,1.0
"r[44]",1.9,0.018,0.72,0.77,1.9,3.2,1541,0.023,1.0
"r[45]",8.0,0.051,1.9,5.4,7.8,11,1312,0.020,1.0
"r[46]",3.9,0.041,1.4,1.7,3.8,6.3,1125,0.017,1.0
"r[47]",1.2,0.0096,0.38,0.71,1.2,1.9,1573,0.024,1.0
"r[48]",0.75,0.0075,0.29,0.34,0.71,1.3,1486,0.022,1.0
"r[49]",0.70,0.0094,0.35,0.21,0.65,1.4,1401,0.021,1.0
"r[50]",2.8,0.044,1.3,0.84,2.7,5.2,939,0.014,1.0
"r[51]",1.2,0.0076,0.29,0.75,1.1,1.7,1471,0.022,1.0
"r[52]",0.32,0.0041,0.16,0.11,0.29,0.62,1565,0.023,1.0
"r[53]",1.1,0.0086,0.32,0.62,1.1,1.7,1394,0.021,1.0
"r[54]",0.68,0.0076,0.27,0.30,0.64,1.2,1220,0.018,1.0
"r[55]",1.4,0.012,0.41,0.86,1.4,2.2,1191,0.018,1.0
"r[56]",0.61,0.0060,0.24,0.27,0.58,1.0,1577,0.024,1.0
"r[57]",0.26,0.0038,0.15,0.075,0.23,0.53,1533,0.023,1.0
"r[58]",1.2,0.011,0.45,0.59,1.2,2.1,1526,0.023,1.0
"r[59]",0.66,0.0064,0.28,0.27,0.62,1.2,1896,0.028,1.0
"r[60]",0.29,0.0043,0.17,0.082,0.25,0.62,1624,0.024,1.0
"r[61]",1.7,0.013,0.53,0.90,1.6,2.6,1612,0.024,1.0
"r[62]",1.2,0.014,0.53,0.40,1.1,2.1,1354,0.020,1.0
"r[63]",1.7,0.014,0.49,0.92,1.6,2.5,1181,0.018,1.0
"r[64]",3.8,0.019,0.74,2.7,3.7,5.1,1489,0.022,1.0
"r[65]",2.1,0.016,0.52,1.3,2.1,3.0,1032,0.015,1.0
"r[66]",1.1,0.012,0.42,0.51,1.1,1.9,1334,0.020,1.0
"r[67]",0.72,0.014,0.43,0.18,0.64,1.6,1013,0.015,1.0
"r[68]",0.55,0.012,0.39,0.12,0.45,1.3,1051,0.016,1.0
"r[69]",3.6,0.018,0.75,2.5,3.5,4.9,1676,0.025,1.0
"r[70]",0.78,0.013,0.48,0.18,0.68,1.7,1470,0.022,1.0
"r[71]",2.6,0.015,0.58,1.8,2.6,3.7,1464,0.022,1.0
"r[72]",0.59,0.0066,0.28,0.23,0.55,1.1,1732,0.026,1.0
"r[73]",0.79,0.011,0.41,0.24,0.73,1.6,1471,0.022,1.0
"r[74]",6.7,0.032,1.3,4.8,6.5,9.0,1632,0.024,1.0
"r[75]",0.65,0.0100,0.40,0.15,0.58,1.4,1588,0.024,1.0
"r[76]",17,0.14,5.0,12,17,26,1331,0.020,1.0
"r[77]",0.51,0.0057,0.21,0.22,0.48,0.91,1375,0.021,1.0
"r[78]",0.98,0.0075,0.31,0.54,0.94,1.5,1666,0.025,1.0
"r[79]",0.22,0.0032,0.13,0.063,0.20,0.48,1761,0.026,1.0
"r[80]",1.9,0.011,0.43,1.2,1.9,2.7,1672,0.025,1.0
"r[81]",0.45,0.0054,0.22,0.16,0.41,0.86,1615,0.024,1.0
"r[82]",0.69,0.0084,0.29,0.29,0.65,1.2,1187,0.018,1.0
"r[83]",2.3,0.032,1.1,0.60,2.3,4.4,1238,0.019,1.0
"r[84]",8.1,0.049,1.8,5.5,7.9,11,1290,0.019,1.00
"r[85]",1.5,0.032,0.85,0.28,1.4,3.0,688,0.010,1.0
"r[86]",1.8,0.031,0.85,0.39,1.8,3.1,765,0.011,1.0
"r[87]",8.7,0.050,1.9,6.0,8.5,12,1516,0.023,1.0
"r[88]",2.7,0.038,1.3,0.72,2.5,5.1,1230,0.018,1.0
"r[89]",1.4,0.024,0.91,0.31,1.3,3.2,1422,0.021,1.0
"r[90]",1.00,0.013,0.51,0.32,0.92,2.0,1456,0.022,1.0
"r[91]",1.8,0.016,0.63,0.89,1.8,3.0,1465,0.022,1.0
"r[92]",0.62,0.0092,0.38,0.15,0.54,1.3,1673,0.025,1.0
"r[93]",0.99,0.0096,0.38,0.46,0.96,1.7,1541,0.023,1.0
"r[94]",1.8,0.012,0.49,1.0,1.7,2.6,1545,0.023,1.0
"r[95]",4.5,0.028,1.0,3.0,4.4,6.3,1349,0.020,1.0
"r[96]",2.9,0.021,0.80,1.7,2.8,4.3,1475,0.022,1.0
"r[97]",1.6,0.021,0.77,0.52,1.5,3.0,1312,0.020,1.0
"r[98]",1.5,0.019,0.65,0.56,1.5,2.7,1116,0.017,1.0
"r[99]",1.6,0.0093,0.38,1.1,1.6,2.3,1672,0.025,1.0
"r[100]",0.45,0.0080,0.26,0.13,0.40,0.94,1036,0.015,1.0
"r[101]",7.8,0.039,1.5,5.6,7.7,10,1426,0.021,1.0
"r[102]",0.98,0.018,0.65,0.22,0.84,2.2,1275,0.019,1.0
"r[103]",3.5,0.026,0.98,2.0,3.5,5.2,1366,0.020,1.0
"r[104]",1.2,0.018,0.60,0.30,1.1,2.3,1155,0.017,1.0
"r[105]",1.8,0.024,0.83,0.59,1.7,3.3,1219,0.018,1.0
"r[106]",1.5,0.020,0.76,0.46,1.4,2.9,1483,0.022,1.0
"r[107]",3.9,0.019,0.78,2.7,3.8,5.3,1614,0.024,1.0
"r[108]",0.76,0.0087,0.36,0.26,0.71,1.4,1697,0.025,1.0
"r[109]",1.4,0.011,0.43,0.74,1.3,2.1,1422,0.021,1.0
"r[110]",2.4,0.014,0.57,1.5,2.3,3.4,1734,0.026,1.0
"r[111]",1.3,0.011,0.44,0.68,1.3,2.1,1679,0.025,1.0
"r[112]",0.65,0.0091,0.35,0.19,0.60,1.3,1462,0.022,1.0
"r[113]",1.2,0.0097,0.37,0.65,1.2,1.9,1488,0.022,1.0
"r[114]",1.1,0.0097,0.36,0.53,1.0,1.7,1400,0.021,1.00
"r[115]",0.25,0.0035,0.14,0.078,0.22,0.51,1552,0.023,1.0
"r[116]",0.94,0.0073,0.26,0.56,0.91,1.4,1300,0.019,1.0
"r[117]",1.8,0.014,0.53,1.00,1.8,2.7,1376,0.021,1.0
"r[118]",0.97,0.014,0.49,0.28,0.91,1.8,1136,0.017,1.0
"r[119]",2.4,0.019,0.62,1.4,2.4,3.5,1044,0.016,1.0
"r[120]",1.6,0.018,0.60,0.65,1.6,2.7,1052,0.016,1.0
"r[121]",0.73,0.010,0.41,0.20,0.66,1.5,1553,0.023,1.0
"r[122]",4.8,0.032,1.1,3.2,4.6,6.7,1163,0.017,1.0
"r[123]",0.62,0.0088,0.37,0.16,0.54,1.3,1741,0.026,1.0
"r[124]",0.51,0.0080,0.30,0.14,0.45,1.1,1433,0.021,1.0
"r[125]",2.7,0.019,0.76,1.6,2.6,4.1,1664,0.025,1.0
"r[126]",0.62,0.012,0.40,0.15,0.54,1.4,1090,0.016,1.0
"r[127]",2.3,0.014,0.51,1.5,2.2,3.2,1332,0.020,1.0
"r[128]",2.3,0.015,0.51,1.5,2.2,3.2,1175,0.018,1.0
"r[129]",0.41,0.0046,0.18,0.17,0.39,0.75,1611,0.024,1.00
"r[130]",1.0,0.0082,0.31,0.58,1.00,1.6,1402,0.021,1.0
"r[131]",0.52,0.0061,0.24,0.21,0.49,0.96,1513,0.023,1.0
"r[132]",0.57,0.0076,0.29,0.17,0.53,1.1,1421,0.021,1.0
"r[133]",11,0.067,2.2,7.9,11,15,1095,0.016,1.0
"r[134]",1.5,0.019,0.59,0.59,1.5,2.6,955,0.014,1.0
"r[135]",1.5,0.0099,0.40,0.90,1.5,2.2,1651,0.025,1.0
"r[136]",0.72,0.0061,0.26,0.35,0.69,1.2,1834,0.027,1.0
"r[137]",0.76,0.0083,0.31,0.32,0.72,1.3,1398,0.021,1.0
"r[138]",0.82,0.014,0.49,0.20,0.73,1.7,1152,0.017,1.0
"r[139]",0.47,0.0076,0.27,0.12,0.42,0.99,1272,0.019,1.0
"r[140]",0.61,0.0084,0.31,0.19,0.56,1.2,1386,0.021,1.0
"r[141]",1.4,0.010,0.38,0.80,1.3,2.0,1436,0.021,1.0
"r[142]",1.2,0.012,0.37,0.63,1.1,1.8,958,0.014,1.0
"r[143]",0.44,0.0054,0.22,0.15,0.40,0.85,1663,0.025,1.0
"r[144]",2.8,0.016,0.59,1.9,2.8,3.9,1388,0.021,1.0
"r[145]",0.48,0.0062,0.26,0.13,0.44,0.96,1825,0.027,1.00
"r[146]",0.45,0.0063,0.25,0.12,0.41,0.94,1585,0.024,1.0
"r[147]",0.86,0.019,0.59,0.19,0.73,2.0,972,0.015,1.0
"r[148]",3.2,0.024,0.84,1.9,3.2,4.6,1205,0.018,1.0
"r[149]",0.58,0.0077,0.26,0.20,0.55,1.1,1156,0.017,1.0
"r[150]",0.50,0.0062,0.25,0.16,0.47,0.95,1610,0.024,1.0
"r[151]",1.5,0.031,1.1,0.23,1.3,3.6,1200,0.018,1.0
"r[152]",13,0.11,3.3,8.9,13,19,911,0.014,1.0
"r[153]",1.2,0.029,0.97,0.17,0.86,3.1,1113,0.017,1.0
"r[154]",15,0.11,4.1,10,15,22,1270,0.019,1.0
"r[155]",1.7,0.033,1.2,0.27,1.5,3.9,1274,0.019,1.0
"r[156]",9.9,0.058,2.3,6.8,9.6,14,1519,0.023,1.0
"r[157]",1.1,0.011,0.41,0.48,1.0,1.8,1339,0.020,1.0
"r[158]",3.0,0.014,0.60,2.1,2.9,4.0,1955,0.029,1.0
"r[159]",0.68,0.0067,0.25,0.32,0.65,1.1,1408,0.021,1.0
"r[160]",0.62,0.0064,0.25,0.26,0.59,1.1,1466,0.022,1.0
"r[161]",1.8,0.012,0.47,1.1,1.8,2.6,1513,0.023,1.0
"r[162]",1.2,0.011,0.45,0.51,1.2,2.0,1813,0.027,1.0
"r[163]",1.2,0.0081,0.32,0.69,1.1,1.7,1536,0.023,1.0
"r[164]",1.3,0.0085,0.36,0.80,1.3,2.0,1783,0.027,1.0
