name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12883,0.325444,11.9706,-12903.1,-12882.7,-12864,1352.95,0.0128367,1.00339
"accept_stat__",0.873008,0.0390673,0.168328,0.579856,0.925003,0.997642,18.5646,0.00017614,1.05105
"stepsize__",0.139121,0.039658,0.0486075,0.0703931,0.172596,0.174374,1.50225,1.42533e-05,7.70611e+13
"treedepth__",4.06283,0.466059,1.42416,1,4,6,9.33757,8.85942e-05,1.09547
"n_leapfrog__",28.093,9.90944,18.817,3,27,63,3.60582,3.42118e-05,1.29045
"divergent__",0.651,0.0116743,0.476694,0,1,1,1667.33,0.0158195,1.00769
"energy__",13012,0.423232,16.7543,12984.6,13011.8,13040,1567.1,0.0148685,1.00284
"r[1]",0.48,0.0048,0.24,0.17,0.45,0.91,2429,0.023,1.00
"r[2]",0.73,0.0054,0.29,0.33,0.69,1.3,2814,0.027,1.0
"r[3]",0.70,0.0083,0.41,0.18,0.62,1.5,2383,0.023,1.0
"r[4]",6.8,0.025,1.3,4.9,6.6,9.0,2532,0.024,1.0
"r[5]",1.2,0.011,0.56,0.37,1.1,2.2,2823,0.027,1.0
"r[6]",2.4,0.014,0.67,1.4,2.3,3.5,2437,0.023,1.00
"r[7]",1.3,0.012,0.61,0.41,1.2,2.4,2657,0.025,1.0
"r[8]",6.0,0.021,1.2,4.3,5.9,8.0,2978,0.028,1.0
"r[9]",1.9,0.011,0.59,1.0,1.8,2.9,2883,0.027,1.00
"r[10]",2.4,0.012,0.65,1.4,2.3,3.5,2824,0.027,1.0
"r[11]",2.1,0.017,0.81,0.93,2.0,3.5,2312,0.022,1.0
"r[12]",0.90,0.012,0.59,0.19,0.76,2.1,2420,0.023,1.0
"r[13]",6.0,0.027,1.4,4.0,5.9,8.4,2691,0.026,1.0
"r[14]",0.96,0.011,0.58,0.23,0.85,2.1,2601,0.025,1.0
"r[15]",0.74,0.0060,0.30,0.31,0.70,1.3,2425,0.023,1.0
