name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12924,0.299349,11.7698,-12944,-12923.8,-12905.3,1545.91,0.00761417,1.0003
"accept_stat__",0.917149,0.00412263,0.131565,0.672059,0.962425,0.999029,1018.42,0.0050161,1.00638
"stepsize__",0.0596821,0.00190824,0.00233886,0.0570683,0.0592339,0.062744,1.50225,7.39913e-06,6.66071e+12
"treedepth__",5.2675,0.0426292,1.19702,3,6,6,788.472,0.00388351,1.00654
"n_leapfrog__",51.1315,0.663374,18.7641,9,63,63,800.087,0.00394071,1.00653
"divergent__",0.382833,0.014101,0.486119,0,0,1,1188.46,0.00585361,1.00564
"energy__",13053,0.40218,16.3331,13026.1,13052.8,13080.2,1649.29,0.00812334,1.00022
"r[1]",0.36,0.0038,0.22,0.099,0.32,0.78,3389,0.017,1.0
"r[2]",2.7,0.011,0.57,1.9,2.7,3.7,2788,0.014,1.0
"r[3]",0.66,0.0042,0.26,0.29,0.62,1.1,3834,0.019,1.00
"r[4]",0.73,0.0048,0.28,0.34,0.69,1.2,3315,0.016,1.00
"r[5]",1.5,0.0089,0.49,0.83,1.5,2.4,2977,0.015,1.0
"r[6]",1.5,0.0081,0.47,0.83,1.5,2.4,3399,0.017,1.0
"r[7]",6.4,0.024,1.3,4.5,6.3,8.7,2837,0.014,1.0
"r[8]",1.1,0.0089,0.46,0.44,1.1,1.9,2646,0.013,1.0
"r[9]",0.43,0.0043,0.24,0.13,0.39,0.86,3060,0.015,1.0
"r[10]",0.80,0.0054,0.31,0.37,0.76,1.4,3209,0.016,1.0
"r[11]",4.6,0.016,0.90,3.2,4.5,6.1,3018,0.015,1.0
"r[12]",0.39,0.0051,0.26,0.095,0.33,0.91,2690,0.013,1.0
"r[13]",0.84,0.0075,0.45,0.25,0.76,1.7,3561,0.018,1.0
"r[14]",1.2,0.0083,0.50,0.51,1.2,2.1,3634,0.018,1.0
"r[15]",1.3,0.011,0.57,0.46,1.2,2.3,2483,0.012,1.0
"r[16]",3.3,0.016,0.79,2.1,3.2,4.7,2487,0.012,1.0
"r[17]",2.0,0.013,0.64,1.0,1.9,3.1,2595,0.013,1.00
"r[18]",3.8,0.015,0.85,2.5,3.8,5.3,3244,0.016,1.0
"r[19]",0.48,0.0053,0.33,0.11,0.40,1.1,3793,0.019,1.0
"r[20]",3.0,0.015,0.83,1.8,2.9,4.5,3228,0.016,1.00
"r[21]",1.1,0.011,0.64,0.29,1.0,2.3,3574,0.018,1.00
"r[22]",5.7,0.021,1.2,3.9,5.6,7.8,3253,0.016,1.00
"r[23]",2.4,0.014,0.69,1.3,2.4,3.6,2434,0.012,1.0
"r[24]",0.98,0.011,0.53,0.26,0.91,2.0,2187,0.011,1.0
"r[25]",5.6,0.026,1.4,3.5,5.4,8.1,3031,0.015,1.0
"r[26]",1.8,0.019,0.97,0.44,1.7,3.6,2743,0.014,1.0
"r[27]",2.5,0.021,1.1,0.89,2.4,4.5,2823,0.014,1.0
"r[28]",1.8,0.017,0.87,0.55,1.7,3.4,2763,0.014,1.00
"r[29]",1.6,0.015,0.77,0.53,1.5,3.0,2659,0.013,1.0
