name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13479.6,0.336612,11.76,-13499.6,-13479,-13461,1220.56,0.0121542,0.999965
"accept_stat__",0.85944,0.0521284,0.184025,0.5,0.916667,0.998016,12.4625,0.000124101,1.07048
"stepsize__",0.151672,0.0522433,0.0640328,0.0692073,0.160516,0.225292,1.50225,1.49594e-05,7.14373e+13
"treedepth__",3.786,0.632652,1.47181,1,4,6,5.41221,5.38945e-05,1.17363
"n_leapfrog__",24.2198,11.7913,19.5999,2,15,63,2.76302,2.7514e-05,1.4469
"divergent__",0.614667,0.0697704,0.486715,0,1,1,48.6638,0.000484592,1.03007
"energy__",13608.3,0.424072,16.3299,13582.5,13607.7,13635.4,1482.82,0.0147658,1.00005
"r[1]",1.1,0.0064,0.33,0.61,1.1,1.7,2582,0.026,1.00
"r[2]",0.56,0.0050,0.22,0.25,0.53,0.97,1942,0.019,1.0
"r[3]",2.7,0.012,0.59,1.8,2.6,3.7,2284,0.023,1.0
"r[4]",1.4,0.0099,0.41,0.77,1.4,2.1,1690,0.017,1.0
"r[5]",0.47,0.0049,0.23,0.16,0.43,0.90,2290,0.023,1.0
"r[6]",0.29,0.0031,0.16,0.088,0.26,0.60,2626,0.026,1.0
"r[7]",2.1,0.011,0.54,1.3,2.0,3.1,2267,0.023,1.0
"r[8]",1.3,0.010,0.45,0.67,1.3,2.1,2028,0.020,1.0
"r[9]",2.7,0.016,0.68,1.6,2.6,3.9,1854,0.018,1.0
"r[10]",1.1,0.011,0.49,0.45,1.1,2.0,1855,0.018,1.0
"r[11]",2.6,0.018,0.71,1.5,2.5,3.9,1585,0.016,1.0
"r[12]",1.8,0.013,0.58,0.91,1.7,2.8,1851,0.018,1.0
"r[13]",0.83,0.0085,0.41,0.26,0.76,1.6,2349,0.023,1.0
"r[14]",0.29,0.0032,0.16,0.089,0.26,0.58,2420,0.024,1.0
"r[15]",1.7,0.012,0.54,0.89,1.6,2.6,1973,0.020,1.0
"r[16]",1.7,0.011,0.54,0.89,1.7,2.7,2456,0.024,1.0
"r[17]",1.3,0.0084,0.41,0.72,1.3,2.0,2369,0.024,1.0
"r[18]",1.7,0.010,0.48,0.97,1.6,2.5,2166,0.022,1.0
"r[19]",0.62,0.0072,0.32,0.20,0.57,1.2,2013,0.020,1.0
"r[20]",4.0,0.018,0.92,2.6,3.9,5.7,2482,0.025,1.0
"r[21]",1.3,0.012,0.55,0.51,1.3,2.3,2168,0.022,1.0
"r[22]",1.9,0.014,0.63,0.99,1.9,3.1,2079,0.021,1.0
"r[23]",0.31,0.0039,0.19,0.081,0.27,0.66,2218,0.022,1.0
"r[24]",0.66,0.0055,0.26,0.29,0.64,1.1,2291,0.023,1.0
"r[25]",6.1,0.028,1.3,4.2,6.0,8.4,2039,0.020,1.00
"r[26]",4.4,0.028,1.1,2.6,4.3,6.4,1720,0.017,1.0
"r[27]",0.84,0.013,0.53,0.19,0.73,1.9,1806,0.018,1.0
"r[28]",0.62,0.0082,0.38,0.15,0.54,1.3,2113,0.021,1.0
"r[29]",1.7,0.013,0.57,0.85,1.7,2.7,1968,0.020,1.0
"r[30]",0.38,0.0044,0.23,0.10,0.34,0.82,2594,0.026,1.0
"r[31]",1.2,0.0084,0.35,0.71,1.2,1.8,1681,0.017,1.0
"r[32]",0.24,0.0026,0.12,0.080,0.22,0.47,2246,0.022,1.0
"r[33]",1.6,0.0092,0.43,0.95,1.6,2.3,2171,0.022,1.00
"r[34]",1.4,0.0088,0.41,0.76,1.3,2.1,2162,0.022,1.0
"r[35]",0.35,0.0045,0.21,0.095,0.31,0.76,2256,0.022,1.0
"r[36]",1.5,0.0098,0.45,0.83,1.5,2.3,2134,0.021,1.0
"r[37]",1.3,0.0086,0.38,0.76,1.3,2.0,1976,0.020,1.0
"r[38]",0.42,0.0044,0.22,0.13,0.38,0.82,2450,0.024,1.00
"r[39]",1.2,0.0084,0.40,0.60,1.2,1.9,2256,0.022,1.0
"r[40]",1.7,0.011,0.49,1.0,1.7,2.6,2061,0.021,1.0
"r[41]",1.4,0.011,0.53,0.67,1.4,2.4,2227,0.022,1.0
"r[42]",3.6,0.018,0.82,2.4,3.6,5.1,2203,0.022,1.0
"r[43]",0.96,0.011,0.45,0.33,0.91,1.8,1854,0.018,1.0
"r[44]",3.1,0.018,0.75,2.0,3.0,4.4,1701,0.017,1.0
"r[45]",0.69,0.0082,0.34,0.21,0.65,1.3,1738,0.017,1.0
"r[46]",2.5,0.014,0.58,1.6,2.4,3.5,1613,0.016,1.0
"r[47]",0.66,0.0062,0.26,0.32,0.63,1.1,1684,0.017,1.00
"r[48]",0.41,0.0040,0.19,0.16,0.38,0.78,2398,0.024,1.0
"r[49]",0.98,0.0090,0.39,0.43,0.94,1.7,1826,0.018,1.0
"r[50]",3.1,0.016,0.71,2.0,3.1,4.3,1937,0.019,1.0
"r[51]",3.5,0.016,0.75,2.4,3.4,4.8,2315,0.023,1.0
"r[52]",1.2,0.0091,0.42,0.54,1.1,1.9,2109,0.021,1.0
"r[53]",0.46,0.0067,0.29,0.13,0.39,1.0,1823,0.018,1.0
"r[54]",2.4,0.013,0.56,1.6,2.4,3.4,1970,0.020,1.0
"r[55]",5.2,0.023,1.0,3.7,5.1,7.1,1960,0.020,1.0
"r[56]",0.46,0.0059,0.28,0.12,0.40,1.00,2312,0.023,1.00
