name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12443.7,0.2539,11.5749,-12463.5,-12443.3,-12425,2078.33,0.0276642,1.00008
"accept_stat__",0.881425,0.0305807,0.1515,0.642049,0.927555,0.998904,24.5431,0.00032669,1.0407
"stepsize__",0.186988,0.0376862,0.0461906,0.123099,0.207163,0.230701,1.50225,1.99962e-05,3.92907e+13
"treedepth__",3.87467,0.337304,1.01397,2,4,5,9.03657,0.000120284,1.09369
"n_leapfrog__",18.3282,4.99853,8.78723,4,15,31,3.09043,4.11362e-05,1.35003
"divergent__",0.280167,0.0081372,0.449118,0,0,1,3046.29,0.0405486,1.0022
"energy__",12572.3,0.363748,16.3201,12545.9,12572.3,12600,2013,0.0267947,0.99984
"r[1]",0.58,0.0044,0.27,0.21,0.55,1.1,3804,0.051,1.0
"r[2]",3.5,0.010,0.67,2.5,3.5,4.6,4229,0.056,1.00
"r[3]",0.59,0.0044,0.27,0.22,0.55,1.1,3750,0.050,1.0
"r[4]",0.64,0.0043,0.28,0.23,0.60,1.2,4297,0.057,1.0
"r[5]",4.1,0.012,0.79,2.9,4.0,5.4,4121,0.055,1.0
"r[6]",0.56,0.0053,0.32,0.15,0.50,1.2,3664,0.049,1.0
"r[7]",1.6,0.0059,0.39,1.00,1.5,2.3,4502,0.060,1.00
"r[8]",0.43,0.0029,0.19,0.18,0.41,0.79,4359,0.058,1.0
"r[9]",1.9,0.0070,0.47,1.3,1.9,2.8,4536,0.060,1.0
"r[10]",0.37,0.0028,0.19,0.13,0.34,0.73,4633,0.062,1.0
"r[11]",0.85,0.0044,0.30,0.42,0.81,1.4,4757,0.063,1.0
"r[12]",0.45,0.0035,0.21,0.16,0.41,0.84,3851,0.051,1.00
"r[13]",0.73,0.0049,0.32,0.28,0.69,1.3,4257,0.057,1.00
"r[14]",0.59,0.0046,0.31,0.18,0.54,1.2,4382,0.058,1.0
"r[15]",0.78,0.0041,0.27,0.38,0.75,1.3,4346,0.058,1.00
"r[16]",0.41,0.0030,0.19,0.15,0.38,0.77,4092,0.054,1.0
"r[17]",1.3,0.0068,0.44,0.69,1.3,2.1,4085,0.054,1.0
"r[18]",3.4,0.010,0.71,2.3,3.3,4.6,4542,0.060,1.0
"r[19]",0.91,0.0064,0.41,0.35,0.86,1.7,4088,0.054,1.00
"r[20]",0.65,0.0040,0.28,0.26,0.61,1.2,4902,0.065,1.00
"r[21]",7.2,0.022,1.4,5.2,7.1,9.7,4071,0.054,1.0
"r[22]",1.3,0.011,0.65,0.37,1.2,2.5,3383,0.045,1.0
"r[23]",0.41,0.0030,0.22,0.13,0.37,0.81,5019,0.067,1.0
"r[24]",1.7,0.0068,0.44,1.1,1.7,2.5,4251,0.057,1.00
"r[25]",0.80,0.0058,0.35,0.30,0.76,1.4,3625,0.048,1.00
"r[26]",2.9,0.015,0.89,1.6,2.8,4.5,3369,0.045,1.0
"r[27]",0.74,0.0059,0.37,0.24,0.67,1.4,3938,0.052,1.0
"r[28]",1.4,0.0072,0.46,0.77,1.4,2.2,3954,0.053,1.0
"r[29]",1.3,0.0079,0.51,0.61,1.3,2.3,4176,0.056,1.0
"r[30]",1.1,0.0068,0.45,0.49,1.1,2.0,4456,0.059,1.0
"r[31]",1.1,0.0049,0.33,0.60,1.1,1.7,4401,0.059,1.0
"r[32]",0.32,0.0024,0.17,0.11,0.29,0.64,4780,0.064,1.0
"r[33]",1.3,0.0058,0.38,0.77,1.3,2.0,4311,0.057,1.00
"r[34]",0.78,0.0042,0.29,0.37,0.75,1.3,4624,0.062,1.0
"r[35]",0.86,0.0050,0.32,0.40,0.83,1.4,4226,0.056,1.0
"r[36]",1.1,0.0054,0.36,0.59,1.1,1.8,4457,0.059,1.00
"r[37]",1.1,0.0050,0.32,0.62,1.1,1.7,4110,0.055,1.0
"r[38]",0.57,0.0033,0.22,0.27,0.54,0.97,4462,0.059,1.0
"r[39]",0.41,0.0027,0.18,0.17,0.38,0.75,4567,0.061,1.0
"r[40]",0.92,0.0042,0.28,0.51,0.89,1.4,4335,0.058,1.00
"r[41]",0.26,0.0023,0.15,0.078,0.24,0.54,4206,0.056,1.00
"r[42]",0.26,0.0022,0.14,0.079,0.23,0.53,4378,0.058,1.00
"r[43]",1.1,0.0055,0.37,0.56,1.0,1.8,4538,0.060,1.0
"r[44]",0.45,0.0036,0.25,0.14,0.41,0.92,4778,0.064,1.0
"r[45]",1.5,0.0069,0.44,0.84,1.4,2.3,3987,0.053,1.0
"r[46]",1.1,0.0060,0.38,0.55,1.1,1.8,4018,0.053,1.0
