name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12233.1,0.276986,11.94,-12253.3,-12232.7,-12214.5,1858.2,0.0185664,1.0014
"accept_stat__",0.880261,0.0246567,0.148974,0.62394,0.923353,0.996902,36.5047,0.00036474,1.03207
"stepsize__",0.160653,0.0152567,0.0186996,0.141587,0.154318,0.186054,1.50225,1.50099e-05,1.58492e+13
"treedepth__",4.32317,0.0320465,1.07638,2,5,5,1128.15,0.011272,1.00825
"n_leapfrog__",25.4082,0.263705,8.96707,5,31,31,1156.28,0.0115531,1.00889
"divergent__",0.3685,0.00992454,0.482438,0,0,1,2362.99,0.02361,1.00402
"energy__",12362.4,0.375007,16.6049,12335.9,12362.2,12390.1,1960.62,0.0195897,1.00179
"r[1]",0.48,0.0031,0.22,0.19,0.45,0.89,4974,0.050,1.0
"r[2]",0.49,0.0031,0.22,0.18,0.46,0.88,5216,0.052,1.0
"r[3]",0.76,0.0043,0.30,0.33,0.72,1.3,4966,0.050,1.00
"r[4]",1.1,0.0046,0.36,0.60,1.1,1.8,5867,0.059,1.00
"r[5]",0.89,0.0052,0.37,0.35,0.86,1.6,5119,0.051,1.0
"r[6]",0.65,0.0046,0.32,0.21,0.60,1.3,4865,0.049,1.0
"r[7]",1.4,0.0060,0.41,0.84,1.4,2.2,4646,0.046,1.00
"r[8]",0.52,0.0034,0.25,0.18,0.49,0.98,5505,0.055,1.00
"r[9]",0.96,0.0046,0.32,0.49,0.93,1.5,5029,0.050,1.00
"r[10]",0.37,0.0028,0.21,0.11,0.33,0.76,5372,0.054,1.0
"r[11]",2.1,0.0094,0.63,1.2,2.1,3.2,4541,0.045,1.00
"r[12]",1.2,0.0083,0.53,0.46,1.2,2.2,4027,0.040,1.0
"r[13]",0.73,0.0084,0.52,0.15,0.61,1.7,3791,0.038,1.00
"r[14]",3.8,0.015,1.0,2.3,3.7,5.5,4644,0.046,1.00
"r[15]",0.86,0.0044,0.30,0.42,0.83,1.4,4873,0.049,1.0
"r[16]",0.84,0.0040,0.30,0.42,0.81,1.4,5502,0.055,1.0
"r[17]",0.87,0.0047,0.32,0.43,0.83,1.4,4573,0.046,1.00
"r[18]",0.64,0.0038,0.26,0.28,0.61,1.1,4795,0.048,1.0
"r[19]",0.55,0.0041,0.28,0.18,0.51,1.1,4692,0.047,1.00
"r[20]",0.92,0.0055,0.38,0.38,0.87,1.6,4713,0.047,1.00
"r[21]",0.31,0.0024,0.17,0.099,0.28,0.62,5079,0.051,1.0
"r[22]",0.35,0.0024,0.18,0.11,0.32,0.68,5289,0.053,1.0
"r[23]",0.90,0.0077,0.51,0.23,0.81,1.9,4393,0.044,1.0
"r[24]",3.1,0.012,0.78,1.9,3.0,4.4,4317,0.043,1.00
"r[25]",4.8,0.017,1.2,3.1,4.7,6.9,4634,0.046,1.00
