name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-12664.5,0.304289,11.7702,-12684.3,-12664.1,-12645.8,1496.22,0.0175898,1.00056
"accept_stat__",0.862819,0.0332787,0.167671,0.549,0.913064,0.996562,25.3855,0.000298437,1.03988
"stepsize__",0.152498,0.0305508,0.037445,0.0995681,0.177665,0.18026,1.50225,1.76608e-05,4.67455e+13
"treedepth__",3.8945,0.130593,1.23435,1,4,5,89.3388,0.00105029,1.02495
"n_leapfrog__",22.4763,2.17557,11.4069,3,26,31,27.4912,0.000323193,1.03782
"divergent__",0.618,0.0743398,0.485917,0,1,1,42.7249,0.000502284,1.02656
"energy__",12793.5,0.408577,16.2663,12767,12793.3,12820.9,1585,0.0186336,1.00088
"r[1]",3.8,0.016,0.88,2.5,3.8,5.4,2837,0.033,1.0
"r[2]",2.4,0.014,0.72,1.4,2.4,3.7,2794,0.033,1.0
"r[3]",0.56,0.0044,0.24,0.24,0.53,1.0,2950,0.035,1.0
"r[4]",0.69,0.0053,0.27,0.32,0.66,1.2,2522,0.030,1.0
"r[5]",0.80,0.0072,0.38,0.28,0.75,1.5,2777,0.033,1.0
"r[6]",2.2,0.014,0.71,1.2,2.2,3.5,2561,0.030,1.00
"r[7]",0.20,0.0020,0.12,0.058,0.18,0.43,3676,0.043,1.00
"r[8]",1.3,0.0061,0.35,0.81,1.3,1.9,3289,0.039,1.00
"r[9]",0.66,0.0049,0.27,0.29,0.63,1.2,3007,0.035,1.0
"r[10]",0.59,0.0045,0.26,0.24,0.56,1.1,3278,0.039,1.0
"r[11]",2.9,0.013,0.64,1.9,2.8,4.0,2572,0.030,1.0
"r[12]",0.89,0.0062,0.35,0.39,0.86,1.5,3208,0.038,1.00
"r[13]",1.1,0.0094,0.51,0.38,1.1,2.1,2980,0.035,1.0
"r[14]",0.54,0.0058,0.31,0.16,0.49,1.1,2881,0.034,1.0
"r[15]",2.4,0.015,0.80,1.2,2.4,3.8,2668,0.031,1.0
"r[16]",2.7,0.017,0.80,1.4,2.6,4.1,2305,0.027,1.0
"r[17]",1.0,0.013,0.58,0.21,0.92,2.1,2053,0.024,1.0
"r[18]",1.2,0.014,0.61,0.31,1.2,2.3,2002,0.024,1.00
"r[19]",15,0.080,3.8,9.9,14,22,2226,0.026,1.0
"r[20]",2.0,0.022,1.1,0.47,1.9,4.0,2489,0.029,1.0
"r[21]",3.9,0.015,0.76,2.7,3.8,5.2,2608,0.031,1.0
"r[22]",0.57,0.0069,0.37,0.14,0.49,1.3,2830,0.033,1.0
"r[23]",17,0.11,5.0,11,16,25,2046,0.024,1.0
"r[24]",2.2,0.028,1.2,0.44,2.1,4.4,1921,0.023,1.00
"r[25]",1.8,0.029,1.2,0.27,1.5,4.1,1879,0.022,1.00
"r[26]",3.1,0.019,1.0,1.6,3.1,5.0,2997,0.035,1.0
"r[27]",2.3,0.021,1.0,0.79,2.1,4.1,2378,0.028,1.0
"r[28]",1.3,0.019,0.94,0.22,1.0,3.2,2305,0.027,1.0
"r[29]",1.9,0.018,0.94,0.55,1.7,3.6,2641,0.031,1.0
"r[30]",2.3,0.017,0.86,0.99,2.2,3.8,2515,0.030,1.0
"r[31]",1.1,0.0069,0.38,0.54,1.1,1.8,2966,0.035,1.00
"r[32]",1.7,0.0086,0.46,0.98,1.6,2.5,2863,0.034,1.00
"r[33]",1.4,0.0091,0.44,0.72,1.3,2.1,2305,0.027,1.0
"r[34]",0.82,0.0074,0.35,0.32,0.78,1.5,2267,0.027,1.0
"r[35]",3.0,0.013,0.69,2.0,3.0,4.2,2732,0.032,1.0
"r[36]",0.71,0.0075,0.37,0.21,0.65,1.4,2394,0.028,1.00
"r[37]",0.77,0.0053,0.29,0.36,0.74,1.3,3038,0.036,1.0
"r[38]",2.7,0.0099,0.57,1.8,2.6,3.6,3268,0.038,1.0
"r[39]",0.57,0.0045,0.22,0.27,0.54,0.98,2437,0.029,1.0
"r[40]",0.38,0.0033,0.18,0.15,0.35,0.71,2792,0.033,1.00
"r[41]",0.56,0.0044,0.25,0.21,0.52,1.0,3102,0.036,1.0
"r[42]",0.27,0.0028,0.16,0.078,0.23,0.58,3252,0.038,1.0
"r[43]",0.59,0.0065,0.35,0.15,0.53,1.3,2842,0.033,1.0
"r[44]",1.1,0.0097,0.48,0.40,1.1,2.0,2467,0.029,1.0
"r[45]",0.30,0.0031,0.18,0.087,0.27,0.64,3278,0.039,1.0
"r[46]",3.1,0.011,0.63,2.1,3.0,4.3,3125,0.037,1.0
"r[47]",0.54,0.0039,0.23,0.23,0.50,0.95,3338,0.039,1.0
"r[48]",3.0,0.011,0.62,2.1,3.0,4.1,3198,0.038,1.0
"r[49]",0.34,0.0035,0.19,0.094,0.30,0.71,2992,0.035,1.0
"r[50]",0.54,0.0049,0.25,0.20,0.51,1.0,2663,0.031,1.0
"r[51]",2.2,0.012,0.62,1.3,2.2,3.3,2786,0.033,1.00
"r[52]",2.6,0.013,0.69,1.6,2.6,3.8,2608,0.031,1.0
"r[53]",1.0,0.0083,0.38,0.47,1.0,1.7,2061,0.024,1.0
"r[54]",0.63,0.0059,0.30,0.22,0.58,1.2,2600,0.031,1.0
"r[55]",1.5,0.013,0.62,0.60,1.5,2.6,2354,0.028,1.00
"r[56]",1.3,0.012,0.59,0.44,1.2,2.4,2614,0.031,1.0
"r[57]",3.5,0.017,0.90,2.2,3.5,5.1,2686,0.032,1.0
"r[58]",0.67,0.0077,0.43,0.15,0.58,1.5,3113,0.037,1.00
"r[59]",3.4,0.018,1.00,1.9,3.3,5.1,2910,0.034,1.0
"r[60]",3.1,0.017,0.94,1.6,3.0,4.7,2944,0.035,1.0
"r[61]",1.3,0.015,0.81,0.26,1.1,2.8,2936,0.035,1.0
"r[62]",1.2,0.014,0.76,0.23,1.0,2.7,3024,0.036,1.0
"r[63]",4.4,0.015,0.85,3.2,4.4,5.9,3017,0.035,1.0
"r[64]",0.53,0.0044,0.26,0.18,0.49,1.0,3461,0.041,1.0
"r[65]",0.30,0.0029,0.16,0.097,0.28,0.60,3062,0.036,1.0
"r[66]",0.64,0.0049,0.24,0.30,0.61,1.1,2449,0.029,1.0
"r[67]",0.46,0.0047,0.24,0.15,0.41,0.92,2705,0.032,1.0
"r[68]",0.85,0.0063,0.35,0.34,0.81,1.5,3183,0.037,1.0
"r[69]",0.17,0.0018,0.10,0.052,0.15,0.37,3104,0.036,1.0
"r[70]",0.28,0.0024,0.14,0.10,0.26,0.54,3273,0.038,1.0
"r[71]",0.64,0.0066,0.33,0.20,0.60,1.2,2494,0.029,1.0
"r[72]",6.7,0.024,1.2,4.9,6.6,8.7,2400,0.028,1.00
"r[73]",0.47,0.0055,0.29,0.11,0.41,1.0,2742,0.032,1.0
"r[74]",1.0,0.0083,0.41,0.44,1.00,1.8,2478,0.029,1.0
"r[75]",4.7,0.022,1.1,3.0,4.6,6.7,2540,0.030,1.0
"r[76]",2.2,0.018,0.86,0.93,2.2,3.7,2180,0.026,1.0
"r[77]",0.36,0.0040,0.20,0.11,0.33,0.73,2452,0.029,1.0
"r[78]",0.68,0.0046,0.27,0.30,0.65,1.2,3355,0.039,1.0
"r[79]",2.4,0.013,0.68,1.3,2.3,3.5,2598,0.031,1.0
"r[80]",0.91,0.0099,0.52,0.24,0.82,1.9,2725,0.032,1.0
"r[81]",5.9,0.025,1.3,4.0,5.8,8.3,2662,0.031,1.0
"r[82]",1.6,0.012,0.63,0.62,1.5,2.7,2577,0.030,1.00
"r[83]",3.3,0.017,0.87,2.0,3.2,4.8,2482,0.029,1.00
"r[84]",1.2,0.012,0.63,0.33,1.1,2.4,2522,0.030,1.00
"r[85]",1.2,0.0074,0.39,0.66,1.2,1.9,2804,0.033,1.0
"r[86]",0.66,0.0054,0.30,0.24,0.61,1.2,3058,0.036,1.00
"r[87]",0.84,0.0093,0.48,0.22,0.75,1.8,2658,0.031,1.0
"r[88]",5.8,0.025,1.3,3.9,5.8,8.1,2664,0.031,1.0
"r[89]",1.9,0.014,0.74,0.81,1.9,3.2,2655,0.031,1.0
"r[90]",0.74,0.011,0.48,0.17,0.65,1.7,1924,0.023,1.0
"r[91]",0.92,0.011,0.54,0.22,0.82,1.9,2419,0.028,1.0
"r[92]",2.1,0.020,0.91,0.80,2.1,3.7,1973,0.023,1.0
"r[93]",1.1,0.0060,0.34,0.63,1.1,1.7,3185,0.037,1.0
"r[94]",0.38,0.0032,0.19,0.13,0.35,0.73,3482,0.041,1.0
"r[95]",0.23,0.0023,0.12,0.075,0.20,0.46,2819,0.033,1.0
"r[96]",0.35,0.0029,0.16,0.14,0.32,0.63,2834,0.033,1.0
"r[97]",0.80,0.0051,0.29,0.38,0.76,1.3,3196,0.038,1.0
"r[98]",0.66,0.0045,0.26,0.29,0.63,1.1,3331,0.039,1.0
"r[99]",0.59,0.0052,0.28,0.20,0.55,1.1,2997,0.035,1.0
"r[100]",0.70,0.0061,0.31,0.27,0.66,1.3,2538,0.030,1.0
"r[101]",4.2,0.017,0.92,2.8,4.1,5.8,3026,0.036,1.00
"r[102]",2.9,0.013,0.73,1.7,2.8,4.1,2966,0.035,1.0
"r[103]",0.66,0.0078,0.41,0.16,0.58,1.4,2743,0.032,1.0
"r[104]",2.3,0.013,0.67,1.3,2.2,3.5,2777,0.033,1.0
"r[105]",3.6,0.016,0.84,2.4,3.5,5.1,2617,0.031,1.00
"r[106]",0.40,0.0041,0.23,0.12,0.36,0.85,3208,0.038,1.0
"r[107]",1.7,0.0073,0.41,1.1,1.7,2.4,3156,0.037,1.00
"r[108]",0.36,0.0034,0.19,0.12,0.33,0.73,3214,0.038,1.0
"r[109]",0.81,0.0065,0.35,0.30,0.77,1.4,2820,0.033,1.0
"r[110]",1.9,0.0095,0.49,1.2,1.9,2.8,2667,0.031,1.0
"r[111]",2.1,0.0096,0.55,1.3,2.1,3.1,3262,0.038,1.00
"r[112]",0.78,0.0065,0.34,0.30,0.74,1.4,2716,0.032,1.0
"r[113]",1.2,0.0098,0.50,0.44,1.1,2.0,2582,0.030,1.0
"r[114]",1.7,0.011,0.57,0.86,1.7,2.7,2716,0.032,1.0
"r[115]",0.38,0.0040,0.20,0.13,0.34,0.75,2454,0.029,1.0
"r[116]",1.0,0.0060,0.31,0.57,0.99,1.6,2623,0.031,1.00
"r[117]",0.67,0.0050,0.30,0.24,0.64,1.2,3602,0.042,1.00
"r[118]",4.6,0.017,0.93,3.3,4.6,6.3,2849,0.033,1.0
"r[119]",0.40,0.0044,0.24,0.11,0.36,0.85,2931,0.034,1.00
"r[120]",0.69,0.0057,0.31,0.26,0.65,1.3,2961,0.035,1.0
"r[121]",1.0,0.0072,0.39,0.45,0.98,1.7,2960,0.035,1.0
"r[122]",0.45,0.0043,0.24,0.13,0.41,0.92,3197,0.038,1.0
"r[123]",1.1,0.015,0.74,0.22,0.96,2.6,2293,0.027,1.0
"r[124]",2.6,0.020,1.0,1.1,2.5,4.3,2444,0.029,1.0
"r[125]",5.4,0.056,2.1,1.9,5.4,9.1,1493,0.018,1.0
"r[126]",1.7,0.041,1.5,0.23,1.2,4.8,1299,0.015,1.0
"r[127]",1.4,0.0086,0.45,0.78,1.4,2.2,2711,0.032,1.0
"r[128]",0.80,0.0072,0.35,0.30,0.76,1.4,2409,0.028,1.00
"r[129]",2.4,0.012,0.62,1.5,2.4,3.5,2696,0.032,1.0
"r[130]",1.7,0.011,0.52,0.93,1.6,2.7,2228,0.026,1.0
"r[131]",1.2,0.0093,0.47,0.53,1.1,2.0,2526,0.030,1.0
"r[132]",2.5,0.012,0.68,1.5,2.4,3.7,2977,0.035,1.00
"r[133]",0.72,0.0054,0.27,0.34,0.69,1.2,2511,0.030,1.0
"r[134]",0.99,0.0057,0.32,0.54,0.96,1.6,3108,0.037,1.00
"r[135]",0.95,0.0066,0.36,0.44,0.92,1.6,3052,0.036,1.00
"r[136]",3.3,0.012,0.69,2.3,3.2,4.5,3438,0.040,1.00
"r[137]",1.3,0.0087,0.46,0.63,1.2,2.1,2792,0.033,1.0
"r[138]",0.37,0.0040,0.22,0.10,0.32,0.78,2897,0.034,1.0
"r[139]",1.2,0.0094,0.48,0.49,1.1,2.1,2633,0.031,1.0
"r[140]",0.70,0.0076,0.41,0.18,0.62,1.5,2836,0.033,1.0
"r[141]",0.82,0.0053,0.27,0.43,0.79,1.3,2593,0.030,1.00
"r[142]",0.35,0.0031,0.17,0.13,0.32,0.68,3070,0.036,1.0
"r[143]",0.44,0.0031,0.18,0.19,0.41,0.77,3438,0.040,1.00
"r[144]",0.30,0.0028,0.15,0.11,0.28,0.59,2879,0.034,1.0
"r[145]",1.1,0.0057,0.33,0.60,1.0,1.7,3382,0.040,1.0
"r[146]",0.48,0.0044,0.22,0.18,0.44,0.88,2471,0.029,1.0
"r[147]",1.5,0.0072,0.39,0.90,1.4,2.2,2860,0.034,1.00
"r[148]",1.0,0.0064,0.33,0.56,1.00,1.6,2649,0.031,1.0
"r[149]",1.0,0.0065,0.34,0.50,0.97,1.6,2831,0.033,1.0
"r[150]",3.2,0.012,0.65,2.2,3.2,4.4,2958,0.035,1.0
"r[151]",0.37,0.0036,0.20,0.12,0.33,0.75,3089,0.036,1.00
"r[152]",0.22,0.0026,0.13,0.061,0.19,0.47,2603,0.031,1.0
"r[153]",0.86,0.0059,0.33,0.38,0.82,1.5,3145,0.037,1.0
"r[154]",0.57,0.0049,0.28,0.19,0.52,1.1,3412,0.040,1.00
"r[155]",1.9,0.011,0.56,1.0,1.8,2.9,2517,0.030,1.0
"r[156]",2.7,0.013,0.71,1.6,2.6,3.9,3025,0.036,1.0
"r[157]",1.2,0.0057,0.32,0.69,1.1,1.8,3297,0.039,1.0
"r[158]",0.19,0.0023,0.11,0.053,0.16,0.41,2386,0.028,1.0
"r[159]",0.61,0.0041,0.23,0.28,0.58,1.0,3196,0.038,1.0
"r[160]",0.44,0.0036,0.20,0.17,0.40,0.80,2906,0.034,1.0
"r[161]",0.92,0.0060,0.31,0.48,0.88,1.5,2566,0.030,1.0
"r[162]",0.94,0.0060,0.32,0.48,0.91,1.5,2776,0.033,1.0
"r[163]",0.48,0.0038,0.21,0.20,0.45,0.86,2877,0.034,1.00
"r[164]",0.65,0.0046,0.24,0.32,0.62,1.1,2799,0.033,1.0
"r[165]",1.8,0.0078,0.44,1.1,1.7,2.5,3113,0.037,1.00
"r[166]",0.73,0.0050,0.28,0.34,0.70,1.3,3147,0.037,1.0
"r[167]",0.41,0.0036,0.21,0.13,0.37,0.80,3364,0.040,1.0
"r[168]",0.89,0.0057,0.32,0.45,0.86,1.5,3060,0.036,1.00
"r[169]",0.97,0.0066,0.36,0.45,0.94,1.6,2905,0.034,1.0
"r[170]",0.35,0.0038,0.21,0.096,0.31,0.75,3170,0.037,1.0
"r[171]",1.6,0.012,0.64,0.64,1.5,2.7,2666,0.031,1.0
"r[172]",2.4,0.014,0.71,1.3,2.4,3.7,2768,0.033,1.0
"r[173]",3.6,0.013,0.71,2.5,3.5,4.8,3167,0.037,1.0
"r[174]",0.24,0.0025,0.15,0.066,0.21,0.52,3492,0.041,1.0
"r[175]",1.0,0.0078,0.40,0.43,0.97,1.7,2693,0.032,1.0
"r[176]",5.4,0.023,1.2,3.7,5.3,7.5,2642,0.031,1.0
"r[177]",2.1,0.0087,0.49,1.4,2.0,3.0,3189,0.037,1.00
"r[178]",0.44,0.0040,0.22,0.16,0.41,0.85,2892,0.034,1.0
"r[179]",0.23,0.0023,0.13,0.073,0.20,0.46,2901,0.034,1.0
"r[180]",0.43,0.0033,0.18,0.18,0.41,0.77,3059,0.036,1.0
"r[181]",0.92,0.0063,0.33,0.44,0.88,1.5,2773,0.033,1.00
"r[182]",0.43,0.0039,0.22,0.14,0.39,0.83,3203,0.038,1.00
"r[183]",0.99,0.0062,0.34,0.49,0.95,1.6,3078,0.036,1.0
"r[184]",0.57,0.0060,0.30,0.18,0.51,1.1,2599,0.031,1.0
"r[185]",0.26,0.0027,0.16,0.071,0.23,0.56,3220,0.038,1.0
"r[186]",3.4,0.013,0.68,2.4,3.3,4.6,2793,0.033,1.00
"r[187]",0.38,0.0040,0.23,0.11,0.33,0.83,3263,0.038,1.0
"r[188]",0.90,0.0088,0.43,0.30,0.85,1.7,2423,0.028,1.0
"r[189]",0.60,0.0047,0.24,0.26,0.57,1.1,2741,0.032,1.0
"r[190]",0.61,0.0048,0.25,0.26,0.57,1.1,2742,0.032,1.0
"r[191]",0.52,0.0055,0.29,0.14,0.47,1.1,2805,0.033,1.0
"r[192]",3.1,0.012,0.65,2.1,3.0,4.2,3041,0.036,1.0
"r[193]",2.8,0.013,0.71,1.8,2.8,4.1,2831,0.033,1.0
"r[194]",0.67,0.0067,0.36,0.18,0.61,1.3,2817,0.033,1.00
"r[195]",0.92,0.0052,0.28,0.50,0.89,1.4,3012,0.035,1.0
"r[196]",0.23,0.0023,0.13,0.070,0.20,0.49,3345,0.039,1.0
"r[197]",0.77,0.0055,0.27,0.38,0.74,1.3,2372,0.028,1.0
"r[198]",0.67,0.0043,0.25,0.32,0.64,1.1,3340,0.039,1.0
"r[199]",0.57,0.0046,0.26,0.21,0.52,1.1,3255,0.038,1.0
"r[200]",1.6,0.0078,0.43,0.93,1.5,2.3,3052,0.036,1.0
