name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13264.9,0.250376,11.5429,-13284.5,-13264.6,-13246.5,2125.41,0.0298785,1.00091
"accept_stat__",0.881672,0.00256672,0.128775,0.666667,0.915447,0.998279,2517.11,0.0353849,1.00002
"stepsize__",0.205707,0.00246954,0.00302682,0.201565,0.206842,0.208713,1.50225,2.11183e-05,2.05523e+12
"treedepth__",3.94917,0.0485926,0.659789,3,4,5,184.361,0.0025917,1.01753
"n_leapfrog__",18.0698,2.08411,7.34738,9,15,31,12.4286,0.000174718,1.06659
"divergent__",0.110333,0.00586724,0.313331,0,0,1,2851.93,0.0400917,1.00151
"energy__",13394,0.361266,16.0997,13368.1,13393.6,13421.1,1986,0.0279187,1.00117
"r[1]",2.3,0.0071,0.54,1.5,2.3,3.3,5781,0.081,1.00
"r[2]",1.0,0.0054,0.40,0.47,1.0,1.8,5408,0.076,1.0
"r[3]",12,0.043,2.7,8.6,12,17,3966,0.056,1.0
"r[4]",1.8,0.015,0.81,0.52,1.8,3.2,2881,0.041,1.0
"r[5]",1.5,0.016,0.88,0.36,1.4,3.2,2909,0.041,1.0
"r[6]",0.69,0.0052,0.35,0.22,0.64,1.3,4565,0.064,1.00
"r[7]",0.85,0.0038,0.30,0.42,0.81,1.4,6143,0.086,1.00
"r[8]",1.3,0.0046,0.35,0.74,1.2,1.9,5742,0.081,1.00
"r[9]",0.34,0.0026,0.20,0.096,0.30,0.72,5701,0.080,1.0
"r[10]",9.2,0.022,1.6,6.9,9.1,12,5422,0.076,1.0
"r[11]",0.46,0.0034,0.24,0.15,0.42,0.90,4860,0.068,1.0
"r[12]",0.45,0.0029,0.22,0.17,0.41,0.86,5615,0.079,1.00
"r[13]",0.68,0.0060,0.42,0.16,0.59,1.5,4886,0.069,1.00
"r[14]",1.7,0.0089,0.64,0.76,1.7,2.8,5089,0.072,1.00
"r[15]",1.5,0.0053,0.40,0.97,1.5,2.3,5651,0.079,1.0
"r[16]",0.43,0.0025,0.20,0.16,0.40,0.80,6529,0.092,1.0
"r[17]",0.57,0.0032,0.25,0.22,0.54,1.0,5940,0.084,1.00
