name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"lp__",-13065.4,0.271259,11.6873,-13085.3,-13065,-13046.6,1856.33,0.0191385,1.00059
"accept_stat__",0.872781,0.00429419,0.16016,0.59254,0.91963,0.99656,1391.06,0.0143416,1.00658
"stepsize__",0.174676,0.0114616,0.014048,0.15492,0.182749,0.186358,1.50225,1.5488e-05,1.48578e+13
"treedepth__",4.38583,0.0275312,1.08313,2,5,5,1547.77,0.0159573,1.00029
"n_leapfrog__",25.9437,0.216132,8.87868,5,31,31,1687.56,0.0173984,1.0007
"divergent__",0.310167,0.00875835,0.4626,0,0,1,2789.76,0.028762,1.0002
"energy__",13194.5,0.375803,16.3244,13168.6,13194.2,13222.2,1886.93,0.0194539,1.00079
"r[1]",0.91,0.0035,0.29,0.49,0.88,1.4,6672,0.069,1.00
"r[2]",0.24,0.0017,0.14,0.071,0.22,0.51,6242,0.064,1.00
"r[3]",2.8,0.0081,0.62,1.8,2.7,3.9,5855,0.060,1.0
"r[4]",1.4,0.0063,0.47,0.70,1.4,2.2,5428,0.056,1.0
"r[5]",1.4,0.0072,0.52,0.62,1.3,2.3,5241,0.054,1.0
"r[6]",0.73,0.0044,0.33,0.27,0.68,1.3,5640,0.058,1.0
"r[7]",1.1,0.0042,0.34,0.61,1.1,1.7,6570,0.068,1.0
"r[8]",0.53,0.0033,0.25,0.20,0.50,1.00,5632,0.058,1.0
"r[9]",0.38,0.0025,0.19,0.12,0.34,0.74,5803,0.060,1.0
"r[10]",0.75,0.0039,0.27,0.36,0.72,1.3,4949,0.051,1.00
"r[11]",1.1,0.0058,0.39,0.53,1.1,1.8,4654,0.048,1.0
"r[12]",2.3,0.0073,0.57,1.4,2.2,3.3,6209,0.064,1.00
"r[13]",0.91,0.0052,0.39,0.36,0.86,1.6,5468,0.056,1.0
"r[14]",2.9,0.0092,0.70,1.9,2.9,4.2,5781,0.060,1.00
"r[15]",0.77,0.0052,0.39,0.23,0.71,1.5,5660,0.058,1.0
"r[16]",6.3,0.015,1.1,4.6,6.2,8.3,5580,0.058,1.00
"r[17]",0.69,0.0046,0.33,0.23,0.65,1.3,5112,0.053,1.00
"r[18]",0.68,0.0047,0.32,0.23,0.63,1.3,4770,0.049,1.00
"r[19]",7.0,0.020,1.3,5.1,6.9,9.5,4578,0.047,1.00
"r[20]",1.1,0.0070,0.49,0.41,1.0,2.0,4917,0.051,1.0
"r[21]",1.6,0.0060,0.44,0.94,1.6,2.4,5499,0.057,1.00
"r[22]",1.7,0.0059,0.46,1.1,1.7,2.6,6045,0.062,1.00
"r[23]",2.0,0.0068,0.48,1.3,2.0,2.9,5060,0.052,1.0
"r[24]",0.27,0.0019,0.16,0.078,0.23,0.56,7043,0.073,1.00
"r[25]",0.76,0.0040,0.31,0.32,0.72,1.3,5777,0.060,1.0
"r[26]",0.54,0.0038,0.26,0.19,0.49,1.0,4860,0.050,1.00
"r[27]",0.90,0.0047,0.36,0.38,0.86,1.6,5870,0.061,1.00
"r[28]",0.46,0.0040,0.29,0.12,0.40,1.0,5293,0.055,1.00
"r[29]",2.4,0.0077,0.60,1.5,2.3,3.4,6113,0.063,1.0
"r[30]",0.45,0.0033,0.26,0.13,0.40,0.94,6320,0.065,1.0
"r[31]",0.85,0.0042,0.34,0.37,0.81,1.5,6367,0.066,1.00
"r[32]",2.6,0.0080,0.58,1.7,2.5,3.6,5261,0.054,1.0
"r[33]",8.0,0.019,1.4,5.8,7.8,11,6074,0.063,1.00
"r[34]",0.84,0.0061,0.43,0.24,0.78,1.6,5110,0.053,1.00
"r[35]",0.94,0.0065,0.46,0.29,0.88,1.8,5076,0.052,1.00
"r[36]",0.63,0.0042,0.31,0.21,0.59,1.2,5410,0.056,1.00
"r[37]",0.48,0.0041,0.29,0.12,0.43,1.0,5054,0.052,1.00
"r[38]",8.0,0.019,1.4,5.9,7.8,11,5429,0.056,1.00
"r[39]",0.63,0.0040,0.28,0.24,0.59,1.1,4639,0.048,1.00
"r[40]",1.5,0.0053,0.42,0.92,1.5,2.3,6357,0.066,1.0
"r[41]",0.59,0.0051,0.34,0.15,0.54,1.2,4466,0.046,1.0
"r[42]",0.51,0.0042,0.31,0.13,0.45,1.1,5312,0.055,1.00
"r[43]",21,0.14,7.5,13,19,33,2739,0.028,1.00
"r[44]",0.60,0.0050,0.37,0.15,0.53,1.3,5431,0.056,1.0
"r[45]",2.0,0.0074,0.50,1.3,2.0,2.9,4626,0.048,1.00
"r[46]",1.2,0.0049,0.38,0.60,1.1,1.8,5966,0.062,1.00
"r[47]",2.3,0.0071,0.52,1.5,2.2,3.2,5233,0.054,1.0
"r[48]",0.80,0.0041,0.32,0.35,0.76,1.4,6006,0.062,1.00
"r[49]",1.0,0.0049,0.37,0.48,0.97,1.7,5555,0.057,1.00
